,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
61972,03/25/2014,Completed,03/26/2014,14-00424763,Abandoned Vehicle Complaint,,Buick,Red,FVI - Outcome,Need Vehicle Tow Report,7.0,4447 W GLADYS AVE,60624.0,,,24.0,11.0,26.0,,41.87592296228481,-87.73718591995771,"(41.87592296228481, -87.73718591995772)",2014-03-25
62077,03/19/2014,Completed,04/04/2014,14-00390507,Abandoned Vehicle Complaint,S219953,Ford,Gold,FVI - Outcome,Need Vehicle Tow Report,8.0,1104 W 17TH ST,60608.0,,,25.0,12.0,31.0,,41.85900724051329,-87.65370957682198,"(41.8590072405133, -87.65370957682198)",2014-03-19
62266,03/26/2014,Completed,05/06/2014,14-00431832,Abandoned Vehicle Complaint,,Ford,Black,FVI - Outcome,Need Vehicle Tow Report,30.0,3455 W WALNUT ST,60624.0,,,28.0,11.0,27.0,,41.88535730377071,-87.71330836244243,"(41.88535730377071, -87.71330836244243)",2014-03-26
68387,03/03/2014,Completed - Dup,03/04/2014,14-00302016,Abandoned Vehicle Complaint,A417144,Dodge,Burgundy,FVI - Outcome,Create Work Order,24.0,3839 W SUNNYSIDE AVE,60625.0,1149870.08400947,1929643.64656693,39.0,17.0,14.0,,41.962745357363595,-87.7245852402773,"(41.96274535736359, -87.72458524027732)",2014-03-03
68388,03/03/2014,Completed,03/04/2014,14-00299981,Abandoned Vehicle Complaint,CF2B401,Hyundai,Black,FVI - Outcome,Vehicle was moved from original address requested,30.0,1800 N ROCKWELL ST,60647.0,,,1.0,14.0,22.0,,41.91399147512534,-87.69235116212316,"(41.91399147512534, -87.69235116212317)",2014-03-03
68389,03/03/2014,Completed,03/04/2014,14-00300873,Abandoned Vehicle Complaint,2625575,Ford,Beige,FVI - Outcome,Vehicle was moved from original address requested,120.0,849 N FRANKLIN ST,60610.0,,,27.0,18.0,8.0,,41.89814708456635,-87.63559305841726,"(41.89814708456634, -87.63559305841726)",2014-03-03
68390,03/03/2014,Completed,03/04/2014,14-00302336,Abandoned Vehicle Complaint,9999,Toyota,Black,FVI - Outcome,Return to Owner - Vehicle,70.0,55 W JACKSON BLVD,60604.0,,,2.0,1.0,32.0,,41.878049842503025,-87.6298403049682,"(41.87804984250302, -87.62984030496821)",2014-03-03
68391,03/02/2014,Completed - Dup,03/04/2014,14-00297130,Abandoned Vehicle Complaint,UNKNOWN,Nissan,Brown,FVI - Outcome,Create Work Order,30.0,5226 S MICHIGAN AVE,60615.0,1178046.48989581,1870295.29999918,3.0,2.0,40.0,52.0,41.79924975986121,-87.62272861651991,"(41.799249759861205, -87.6227286165199)",2014-03-02
68392,03/02/2014,Completed - Dup,03/04/2014,14-00298028,Abandoned Vehicle Complaint,S148810,Chevrolet,Multi - Color,FVI - Outcome,Create Work Order,60.0,3216 S THROOP ST,60608.0,1168179.51422602,1883575.49011185,11.0,9.0,60.0,,41.83551538792785,-87.65852013583854,"(41.83551538792785, -87.65852013583854)",2014-03-02
68393,03/02/2014,Completed,03/04/2014,14-00297729,Abandoned Vehicle Complaint,S148810,Chevrolet,Multi - Color,FVI - Outcome,Vehicle was moved from original address requested,60.0,3216 S THROOP ST,60608.0,,,11.0,9.0,60.0,,41.83551538792785,-87.65852013583854,"(41.83551538792785, -87.65852013583854)",2014-03-02
68394,03/02/2014,Completed,03/04/2014,14-00297767,Abandoned Vehicle Complaint,TW0622,Ford,White,FVI - Outcome,Vehicle was moved from original address requested,14.0,914 N ORLEANS ST,60610.0,,,27.0,18.0,8.0,,41.899426929816535,-87.6374270192882,"(41.899426929816535, -87.63742701928818)",2014-03-02
