,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
56588,08/01/2013,Completed - Dup,08/01/2013,13-01065221,Abandoned Vehicle Complaint,650RHD,Nissan,Gray,,,60.0,2868 S POPLAR AVE,60608.0,1170372.94076729,1885742.44579814,11.0,9.0,60.0,,41.84170175979538,-87.65026546806033,"(41.841701759795384, -87.65026546806031)",2013-08-01
56589,08/01/2013,Completed - Dup,08/01/2013,13-01066590,Abandoned Vehicle Complaint,K439330,Lincoln,Black,,,60.0,5020 S MARSHFIELD AVE,60609.0,1166188.26080908,1871422.55588656,16.0,9.0,61.0,,41.80246986061908,-87.66617947537577,"(41.80246986061908, -87.66617947537576)",2013-08-01
56590,08/01/2013,Completed - Dup,08/01/2013,13-01068579,Abandoned Vehicle Complaint,711DEN,Toyota,Gray,,,30.0,1723 W 16TH ST,60608.0,1165088.92401054,1892116.12088048,25.0,12.0,31.0,,41.85945752172087,-87.66970944174135,"(41.85945752172087, -87.66970944174136)",2013-08-01
56591,08/01/2013,Completed - Dup,08/01/2013,13-01069755,Abandoned Vehicle Complaint,,Rambler,Blue,,,22.0,818 N TRUMBULL AVE,60651.0,1153230.41039492,1905240.21408593,27.0,11.0,23.0,63.0,41.896092175395495,-87.71282122367394,"(41.896092175395495, -87.71282122367394)",2013-08-01
56592,08/01/2013,Completed - Dup,08/01/2013,13-01069757,Abandoned Vehicle Complaint,,Rambler,Blue,,,22.0,818 N TRUMBULL AVE,60651.0,1153230.41039492,1905240.21408593,27.0,11.0,23.0,63.0,41.896092175395495,-87.71282122367394,"(41.896092175395495, -87.71282122367394)",2013-08-01
56593,08/01/2013,Completed - Dup,08/01/2013,13-01069758,Abandoned Vehicle Complaint,,Rambler,Blue,,,22.0,818 N TRUMBULL AVE,60651.0,1153230.41039492,1905240.21408593,27.0,11.0,23.0,63.0,41.896092175395495,-87.71282122367394,"(41.896092175395495, -87.71282122367394)",2013-08-01
56594,08/01/2013,Completed - Dup,08/01/2013,13-01069772,Abandoned Vehicle Complaint,40021PZ,Cadillac,White,FVI - Outcome,Create Work Order,22.0,818 N TRUMBULL AVE,60651.0,1153230.41039492,1905240.21408593,27.0,11.0,23.0,63.0,41.896092175395495,-87.71282122367394,"(41.896092175395495, -87.71282122367394)",2013-08-01
56661,08/02/2013,Completed - Dup,08/02/2013,13-01076314,Abandoned Vehicle Complaint,,Mazda,Blue,,,21.0,5406 N ROCKWELL ST,60625.0,1158035.14588632,1935836.74479792,40.0,20.0,4.0,,41.979731997769115,-87.69433042722719,"(41.979731997769115, -87.69433042722719)",2013-08-02
56662,08/02/2013,Completed,08/02/2013,13-01074042,Abandoned Vehicle Complaint,719GAG,Dodge,White,FVI - Outcome,Return to Owner - Vehicle,,5550 N MCVICKER AVE,60630.0,,,45.0,16.0,11.0,,41.98239758806049,-87.77937015358867,"(41.982397588060486, -87.77937015358867)",2013-08-02
56663,08/01/2013,Completed - Dup,08/02/2013,13-01070854,Abandoned Vehicle Complaint,R981457,General Motors Corp.,White,,,7.0,1006 W 31ST ST,60608.0,1170049.35911624,1884286.20116952,11.0,9.0,60.0,,41.838084511354616,-87.6515714179128,"(41.83808451135462, -87.65157141791282)",2013-08-01
