,CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,SSA,LATITUDE,LONGITUDE,LOCATION,date
273236,07/01/2014,Completed,07/01/2014,14-01018565,Pothole in Street,Final Outcome,Pothole Patched,25.0,105 E SOUTH WATER ST,60601.0,1177269.90091071,1902140.55000536,42.0,1.0,32.0,,41.88670091659206,-87.62434790933779,"(41.88670091659206, -87.62434790933779)",2014-07-01
273237,07/01/2014,Completed,07/01/2014,14-01021343,Pothole in Street,Final Outcome,Completed Upon Arrival,0.0,226 S LAKE SHORE DR,60603.0,1179203.02611702,1899425.31901524,42.0,1.0,32.0,,41.878987420513184,-87.61759333615106,"(41.878987420513184, -87.61759333615107)",2014-07-01
273238,07/01/2014,Completed,07/01/2014,14-01021823,Pothole in Street,Final Outcome,Pothole Patched,1.0,6200 S HALSTED ST,60621.0,1172030.8478335,1863741.66452904,16.0,7.0,68.0,,41.78150895099513,-87.64498344457668,"(41.781508950995125, -87.64498344457668)",2014-07-01
273239,07/01/2014,Completed,07/01/2014,14-01022057,Pothole in Street,Final Outcome,Pothole Patched,7.0,9500 S COMMERCIAL AVE,60617.0,1197798.64247524,1842537.1162027,10.0,4.0,51.0,,41.722672902535564,-87.55122197978409,"(41.72267290253556, -87.5512219797841)",2014-07-01
273240,07/01/2014,Completed,07/01/2014,14-01022074,Pothole in Street,Final Outcome,Pothole Patched,4.0,1650 W 15TH ST,60608.0,1165967.16793399,1892808.9488068002,2.0,12.0,28.0,,41.86153901450642,-87.6683189980618,"(41.86153901450642, -87.66831899806182)",2014-07-01
273241,07/01/2014,Completed,07/01/2014,14-01022105,Pothole in Street,Final Outcome,Pothole Patched,36.0,3234 E 85TH ST,60617.0,1199297.40636819,1849232.82701318,10.0,4.0,46.0,,41.74121233122109,-87.54525693407412,"(41.741212331221085, -87.54525693407412)",2014-07-01
273242,07/01/2014,Completed,07/01/2014,14-01022121,Pothole in Street,Final Outcome,Pothole Patched,10.0,3200 E 85TH ST,60617.0,1198955.62397646,1849286.55867206,10.0,4.0,46.0,,41.74131610868953,-87.54647333845206,"(41.74131610868953, -87.54647333845205)",2014-07-01
273243,07/01/2014,Completed,07/01/2014,14-01023132,Pothole in Street,Final Outcome,Pothole Patched,10.0,4000 N KILDARE AVE,60641.0,1146884.57061155,1926234.23668214,38.0,17.0,16.0,,41.953649433590094,-87.7355841655007,"(41.95364943359009, -87.7355841655007)",2014-07-01
273244,07/01/2014,Completed,07/01/2014,14-01023152,Pothole in Street,Final Outcome,Pothole Patched,20.0,4100 N KILDARE AVE,60641.0,1146865.59002931,1926897.68997938,38.0,17.0,16.0,,41.955384853108605,-87.73563583077845,"(41.9553848531086, -87.73563583077843)",2014-07-01
273245,07/01/2014,Completed,07/01/2014,14-01023762,Pothole in Street,Final Outcome,No Such Address Found,0.0,9754 W FARRAGUT AVE,60656.0,1110140.90069981,1933461.18600669,0.0,0.0,0.0,,41.974114004678114,-87.87082520218605,"(41.97411400467812, -87.87082520218605)",2014-07-01
273246,07/01/2014,Completed,07/01/2014,14-01024259,Pothole in Street,Final Outcome,Pothole Patched,41.0,1000 N KARLOV AVE,60651.0,1148869.90236979,1906357.53298503,37.0,11.0,23.0,,41.89906810085178,-87.72880096743036,"(41.899068100851785, -87.72880096743036)",2014-07-01
273247,07/01/2014,Completed,07/01/2014,14-01024309,Pothole in Street,Final Outcome,Pothole Patched,75.0,900 N KARLOV AVE,60651.0,1148887.9969270001,1905696.91500922,37.0,11.0,23.0,,41.897253041759456,-87.7287528343853,"(41.897253041759456, -87.7287528343853)",2014-07-01
273248,07/01/2014,Completed,07/01/2014,14-01024695,Pothole in Street,Final Outcome,Pothole Patched,46.0,4100 W THOMAS ST,60651.0,1148850.3084173999,1907023.57388593,37.0,11.0,23.0,,41.90091485519317,-87.72877145294012,"(41.90091485519317, -87.72877145294012)",2014-07-01
273249,07/01/2014,Completed,07/01/2014,14-01024895,Pothole in Street,Final Outcome,Pothole Patched,6.0,728 W 21ST ST,60616.0,1171609.75407408,1890212.08999484,25.0,12.0,31.0,,41.8543138686545,-87.64572210032604,"(41.8543138686545, -87.64572210032605)",2014-07-01
273250,07/01/2014,Completed,07/01/2014,14-01025804,Pothole in Street,Final Outcome,Pothole Patched,5.0,5323 S WESTERN AVE,60609.0,1161275.67558829,1869279.56369588,16.0,9.0,63.0,,41.79679140470906,-87.68396488921024,"(41.79679140470906, -87.68396488921023)",2014-07-01
273251,07/01/2014,Completed,07/01/2014,14-01026248,Pothole in Street,Final Outcome,Pothole Patched,3.0,5921 S KEDZIE AVE,60629.0,1156064.21397934,1865188.15136776,16.0,8.0,66.0,59.0,41.785613777008436,-87.70318399742037,"(41.785613777008436, -87.70318399742038)",2014-07-01
