,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
38141,12/01/2012,Completed - Dup,12/06/2012,12-01952736,Sanitation Code Violation,Dumpster not being emptied,4717 S MICHIGAN AVE,60615.0,1177951.66373055,1873781.44350276,3.0,2.0,38.0,41.80897463445344,-87.62282736282829,"(41.80897463445344, -87.6228273628283)",2012-12-01
38142,12/01/2012,Completed,12/03/2012,12-01951948,Sanitation Code Violation,Other,9909 S LAFAYETTE AVE,60628.0,1177677.94102952,1839265.40049954,9.0,5.0,49.0,41.71426494853506,-87.62487395346982,"(41.71426494853506, -87.62487395346982)",2012-12-01
38143,12/01/2012,Completed,12/03/2012,12-01951998,Sanitation Code Violation,Other,5052 W PARKER AVE,60639.0,1142229.06878752,1917815.01798625,31.0,25.0,19.0,41.930544171112494,-87.75275981012898,"(41.93054417111249, -87.75275981012898)",2012-12-01
38144,12/01/2012,Completed,12/03/2012,12-01952565,Sanitation Code Violation,Garbage in yard,4311 W 55TH ST,60632.0,1148515.41100789,1867783.74789425,13.0,8.0,62.0,41.79313311473089,-87.73094869103369,"(41.793133114730885, -87.73094869103369)",2012-12-01
38145,12/01/2012,Completed,12/03/2012,12-01952681,Sanitation Code Violation,Other,4336 S PULASKI RD,60632.0,1150399.52511726,1875594.35957019,14.0,8.0,57.0,41.81453014440915,-87.72383665200401,"(41.814530144409154, -87.72383665200402)",2012-12-01
38146,12/01/2012,Completed,12/03/2012,12-01952839,Sanitation Code Violation,Garbage in yard,10808 S HOXIE AVE,60617.0,1195233.57022223,1833867.41143262,10.0,4.0,51.0,41.69903795098828,-87.56075654019007,"(41.69903795098827, -87.56075654019006)",2012-12-01
38147,12/01/2012,Completed,12/04/2012,12-01952087,Sanitation Code Violation,Other,4258 N WINCHESTER AVE,60613.0,1162654.05433149,1928293.83658665,47.0,19.0,5.0,41.958894571877366,-87.6774077362269,"(41.958894571877366, -87.67740773622691)",2012-12-01
38148,12/01/2012,Completed,12/04/2012,12-01952230,Sanitation Code Violation,Other,2400 N ASHLAND AVE,60614.0,1165268.61793291,1916017.21490962,32.0,19.0,7.0,41.92515157985103,-87.66814581468773,"(41.92515157985103, -87.66814581468773)",2012-12-01
38149,12/01/2012,Completed,12/04/2012,12-01952788,Sanitation Code Violation,Other,4821 N CLAREMONT AVE,60625.0,1159826.34011594,1931961.90660805,47.0,20.0,4.0,41.969018866684266,-87.68770193795322,"(41.969018866684266, -87.68770193795322)",2012-12-01
38150,12/01/2012,Completed,12/05/2012,12-01951989,Sanitation Code Violation,Other,1715 N NASHVILLE AVE,60707.0,1132151.1083763,1910689.76977327,36.0,25.0,25.0,41.911172905797976,-87.78996058894795,"(41.91117290579798, -87.78996058894793)",2012-12-01
38151,12/01/2012,Completed,12/05/2012,12-01952245,Sanitation Code Violation,Construction Site Cleanliness/Fence,7957 S AVALON AVE,60619.0,1185927.12618908,1852484.37916907,8.0,4.0,45.0,41.750349021471656,-87.59424670249659,"(41.750349021471656, -87.59424670249658)",2012-12-01
38152,12/01/2012,Completed,12/05/2012,12-01952343,Sanitation Code Violation,Other,1400 N DAMEN AVE,60622.0,1162807.64318021,1909434.98820649,1.0,14.0,24.0,41.90714153114168,-87.67737354869192,"(41.90714153114168, -87.67737354869192)",2012-12-01
38153,12/01/2012,Completed,12/06/2012,12-01952426,Sanitation Code Violation,Dumpster not being emptied,4027 N TROY ST,60618.0,1154668.91181916,1926604.68767347,33.0,17.0,16.0,41.954423407146,-87.70680981234403,"(41.954423407146, -87.70680981234403)",2012-12-01
38154,12/01/2012,Completed,12/06/2012,12-01952500,Sanitation Code Violation,Other,7101 S KEDZIE AVE,60629.0,1156264.88112201,1857357.80818837,18.0,8.0,66.0,41.76437027161172,-87.7028122226853,"(41.76437027161172, -87.7028122226853)",2012-12-01
38155,12/01/2012,Completed,12/10/2012,12-01951804,Sanitation Code Violation,Other,7152 S CALUMET AVE,60619.0,1179716.51587395,1857668.61849601,6.0,3.0,69.0,41.76471928533357,-87.61684677892332,"(41.76471928533357, -87.61684677892332)",2012-12-01
38156,12/01/2012,Completed,12/12/2012,12-01951994,Sanitation Code Violation,Overflowing carts,12237 S NORMAL AVE,60628.0,1175177.16452185,1823752.97859625,34.0,5.0,53.0,41.6717526246031,-87.63449369695833,"(41.6717526246031, -87.63449369695833)",2012-12-01
38157,12/01/2012,Completed,12/12/2012,12-01952568,Sanitation Code Violation,Overflowing carts,11551 S MORGAN ST,60643.0,1171735.53831978,1828021.01988332,34.0,5.0,53.0,41.683540738060294,-87.64696556795872,"(41.6835407380603, -87.64696556795872)",2012-12-01
38158,12/01/2012,Completed,12/13/2012,12-01952181,Sanitation Code Violation,Dog feces in yard,5658 S MARSHFIELD AVE,60636.0,1166307.80711464,1867184.11329551,15.0,7.0,67.0,41.79112700337287,-87.66572257897346,"(41.79112700337287, -87.66572257897347)",2012-12-01
38159,12/01/2012,Completed,12/14/2012,12-01952429,Sanitation Code Violation,Construction Site Cleanliness/Fence,1626 S KARLOV AVE,60623.0,1149321.51298055,1891556.97121224,24.0,10.0,29.0,41.85835458864401,-87.72737791353359,"(41.85835458864401, -87.7273779135336)",2012-12-01
