,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
83728,10/02/2014,Completed,10/02/2014,14-01677809,Abandoned Vehicle Complaint,9590621,Chevrolet,White,FVI - Outcome,Vehicle was moved from original address requested,7.0,2719 S PRINCETON AVE,60616.0,,,11.0,9.0,34.0,,41.84343434039963,-87.63408767626433,"(41.84343434039963, -87.63408767626433)",2014-10-02
83729,10/02/2014,Completed,10/02/2014,14-01677834,Abandoned Vehicle Complaint,7157625,Toyota,Blue,FVI - Outcome,Vehicle was moved from original address requested,7.0,2602 S WELLS ST,60616.0,,,11.0,9.0,34.0,,41.845425417339094,-87.63321085125595,"(41.845425417339094, -87.63321085125595)",2014-10-02
83730,10/02/2014,Completed,10/02/2014,14-01677835,Abandoned Vehicle Complaint,1307E-TRANSPORT/INDIANA,Acura,Silver,FVI - Outcome,Vehicle was moved from original address requested,18.0,4947 S KOSTNER AVE,60632.0,,,23.0,8.0,57.0,,41.80269944139326,-87.73308472866604,"(41.80269944139326, -87.73308472866604)",2014-10-02
83731,10/02/2014,Completed,10/02/2014,14-01677958,Abandoned Vehicle Complaint,X807657,Chevrolet,Tan,FVI - Outcome,Vehicle was moved from original address requested,7.0,347 W 27TH ST,60616.0,,,11.0,9.0,34.0,,41.84390308072437,-87.63596247183258,"(41.843903080724374, -87.63596247183258)",2014-10-02
83732,10/02/2014,Completed,10/02/2014,14-01678010,Abandoned Vehicle Complaint,R233590,Toyota,Black,FVI - Outcome,Vehicle was moved from original address requested,7.0,238 W 27TH ST,60616.0,,,11.0,9.0,34.0,,41.84416587255858,-87.63335165065327,"(41.84416587255858, -87.63335165065327)",2014-10-02
83733,10/01/2014,Completed - Dup,10/02/2014,14-01672217,Abandoned Vehicle Complaint,287MUV,Toyota,Silver,FVI - Outcome,Create Work Order,7.0,400 E LOWER WACKER DR,60601.0,1179182.06297533,1902386.82172984,42.0,1.0,32.0,,41.88755113170046,-87.61735600828747,"(41.88755113170046, -87.61735600828747)",2014-10-01
83734,10/01/2014,Completed,10/02/2014,14-01669491,Abandoned Vehicle Complaint,R13 0435,(Unlisted Make),Red,FVI - Outcome,Vehicle was moved from original address requested,30.0,3112 S MAY ST,60608.0,,,11.0,9.0,60.0,,41.8375060319178,-87.6549395835065,"(41.8375060319178, -87.6549395835065)",2014-10-01
83735,10/01/2014,Completed,10/02/2014,14-01669578,Abandoned Vehicle Complaint,H799483,Ford,White,FVI - Outcome,Vehicle was moved from original address requested,30.0,8035 S HONORE ST,60620.0,,,18.0,6.0,71.0,,41.74740706398521,-87.66928199712233,"(41.7474070639852, -87.66928199712233)",2014-10-01
83736,10/01/2014,Completed,10/02/2014,14-01671370,Abandoned Vehicle Complaint,L710617,Chevrolet,White,FVI - Outcome,Return to Owner - Vehicle,35.0,1129 W 103RD ST,60643.0,,,34.0,22.0,73.0,,41.706731926473296,-87.65128020410788,"(41.706731926473296, -87.65128020410788)",2014-10-01
83737,10/01/2014,Completed,10/02/2014,14-01672107,Abandoned Vehicle Complaint,893KAL,Chevrolet,Blue,FVI - Outcome,Vehicle was moved from original address requested,7.0,2120 S LEAVITT ST,60608.0,,,25.0,12.0,31.0,,41.853250113697136,-87.68091966833408,"(41.85325011369713, -87.68091966833408)",2014-10-01
83738,10/01/2014,Completed,10/02/2014,14-01672125,Abandoned Vehicle Complaint,119BPZ,Volkswagen,Red,FVI - Outcome,Vehicle was moved from original address requested,7.0,2030 W 17TH ST,60608.0,,,25.0,12.0,31.0,,41.858642566501544,-87.67727697147949,"(41.85864256650155, -87.67727697147949)",2014-10-01
83739,10/01/2014,Completed,10/02/2014,14-01672210,Abandoned Vehicle Complaint,455R433,Hyundai,Tan,FVI - Outcome,Vehicle was moved from original address requested,7.0,400 E LOWER WACKER DR,60601.0,,,42.0,1.0,32.0,,41.88755113170046,-87.61735600828747,"(41.88755113170046, -87.61735600828747)",2014-10-01
83740,10/01/2014,Completed,10/02/2014,14-01673256,Abandoned Vehicle Complaint,V329535,Chevrolet,Red,FVI - Outcome,Vehicle was moved from original address requested,11.0,8930 S BENNETT AVE,60617.0,,,8.0,4.0,48.0,,41.73243277762327,-87.57818149339585,"(41.73243277762327, -87.57818149339585)",2014-10-01
83741,10/01/2014,Completed,10/02/2014,14-01673868,Abandoned Vehicle Complaint,,Nissan,Black,FVI - Outcome,Vehicle was moved from original address requested,4.0,2139 W CULLERTON ST,60608.0,,,25.0,12.0,31.0,,41.854761655202964,-87.67990312635098,"(41.854761655202964, -87.67990312635098)",2014-10-01
83742,10/01/2014,Completed,10/02/2014,14-01674470,Abandoned Vehicle Complaint,R482374,Dodge,White,FVI - Outcome,Vehicle was moved from original address requested,30.0,2000 W BALMORAL AVE,60625.0,,,40.0,20.0,4.0,,41.97977739965988,-87.67964090830294,"(41.97977739965988, -87.67964090830294)",2014-10-01
83791,10/02/2014,Completed - Dup,10/03/2014,14-01680354,Abandoned Vehicle Complaint,NO PLATE,Ford,Blue,FVI - Outcome,Create Work Order,120.0,4456 N MELVINA AVE,60630.0,1134215.789275,1929000.433225,38.0,16.0,15.0,,41.962007647231495,-87.78211126077326,"(41.962007647231495, -87.78211126077325)",2014-10-02
83792,10/02/2014,Completed,10/03/2014,14-01676896,Abandoned Vehicle Complaint,S72 2177,Ford,Gray,FVI - Outcome,Vehicle was moved from original address requested,10.0,4615 N KEYSTONE AVE,60630.0,,,39.0,17.0,14.0,,41.96455576340402,-87.72898911000809,"(41.96455576340402, -87.72898911000809)",2014-10-02
83793,10/02/2014,Completed,10/03/2014,14-01677206,Abandoned Vehicle Complaint,EXPIRED TEMP,(Unlisted Make),Green,FVI - Outcome,Vehicle was moved from original address requested,7.0,6431 S KEATING AVE,60629.0,,,13.0,8.0,64.0,,41.77568782158476,-87.74083600056683,"(41.77568782158476, -87.74083600056683)",2014-10-02
83794,10/02/2014,Completed,10/03/2014,14-01677737,Abandoned Vehicle Complaint,1443477,General Motors Corp.,Green,FVI - Outcome,Return to Owner - Vehicle,14.0,2744 W ARGYLE ST,60625.0,,,40.0,20.0,4.0,,41.97228985661578,-87.6981941460701,"(41.97228985661578, -87.6981941460701)",2014-10-02
83795,10/02/2014,Completed,10/03/2014,14-01677809,Abandoned Vehicle Complaint,9590621,Chevrolet,White,FVI - Outcome,Vehicle was moved from original address requested,7.0,2719 S PRINCETON AVE,60616.0,,,11.0,9.0,34.0,,41.84343434039963,-87.63408767626433,"(41.84343434039963, -87.63408767626433)",2014-10-02
83796,10/02/2014,Completed,10/03/2014,14-01680563,Abandoned Vehicle Complaint,R38 2141,Mitsubishi,Red,FVI - Outcome,Vehicle was moved from original address requested,0.0,2618 W MONTGOMERY AVE,60632.0,,,12.0,9.0,58.0,,41.818673895762274,-87.69039108908487,"(41.818673895762274, -87.69039108908488)",2014-10-02
83797,10/02/2014,Completed,10/03/2014,14-01680660,Abandoned Vehicle Complaint,X162785,Honda,Silver,FVI - Outcome,Vehicle was moved from original address requested,7.0,2935 S PRINCETON AVE,60616.0,,,11.0,9.0,34.0,,41.840058627948295,-87.63400463497973,"(41.840058627948295, -87.63400463497973)",2014-10-02
83798,10/02/2014,Completed,10/03/2014,14-01680694,Abandoned Vehicle Complaint,S397690,Honda,Gray,FVI - Outcome,Vehicle was moved from original address requested,7.0,2825 S SHIELDS AVE,60616.0,,,11.0,9.0,34.0,,41.84178540470767,-87.63526079715434,"(41.84178540470767, -87.63526079715436)",2014-10-02
