,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
83410,07/01/2015,Completed - Dup,07/01/2015,15-03110707,Sanitation Code Violation,Overflowing carts,1608 N BOSWORTH AVE,60642.0,1165750.29470773,1910788.30867687,32.0,14.0,24.0,41.910792872953294,-87.6665253065759,"(41.91079287295329, -87.6665253065759)",2015-07-01
83411,07/01/2015,Completed - Dup,07/01/2015,15-03110708,Sanitation Code Violation,Garbage in alley,1608 N BOSWORTH AVE,60642.0,1165750.29470773,1910788.30867687,32.0,14.0,24.0,41.910792872953294,-87.6665253065759,"(41.91079287295329, -87.6665253065759)",2015-07-01
83412,07/01/2015,Completed - Dup,07/01/2015,15-03110709,Sanitation Code Violation,Garbage in alley,1621 N ASHLAND AVE,60622.0,1165429.29121649,1910867.19653369,32.0,14.0,24.0,41.91101618829785,-87.66770230491885,"(41.91101618829785, -87.66770230491885)",2015-07-01
83413,07/01/2015,Completed,07/01/2015,15-03109234,Sanitation Code Violation,Other,7139 S UNIVERSITY AVE,60619.0,1185116.90001306,1857889.59181587,5.0,3.0,69.0,41.765200512097294,-87.59704618051774,"(41.765200512097294, -87.59704618051774)",2015-07-01
83414,07/01/2015,Completed,07/01/2015,15-03109250,Sanitation Code Violation,Other,7146 S UNIVERSITY AVE,60619.0,1185118.10001306,1857844.79181587,5.0,3.0,69.0,41.7650775485038,-87.59704318779968,"(41.7650775485038, -87.59704318779968)",2015-07-01
83415,07/01/2015,Completed,07/01/2015,15-03109342,Sanitation Code Violation,Other,6700 S DORCHESTER AVE,60637.0,1186694.78011846,1860849.38537019,5.0,3.0,43.0,41.77328523786342,-87.59116924085033,"(41.77328523786342, -87.59116924085033)",2015-07-01
83416,07/01/2015,Completed,07/01/2015,15-03109491,Sanitation Code Violation,Other,6600 S DORCHESTER AVE,60637.0,1186687.58700327,1861520.35989157,5.0,3.0,42.0,41.775126619929424,-87.59117438286043,"(41.77512661992942, -87.59117438286044)",2015-07-01
83417,07/01/2015,Completed,07/01/2015,15-03110305,Sanitation Code Violation,Other,1027 W JACKSON BLVD,60607.0,1169626.65852376,1898816.95237614,25.0,12.0,28.0,41.877859117511846,-87.65263392752684,"(41.87785911751184, -87.65263392752684)",2015-07-01
83418,07/01/2015,Completed,07/01/2015,15-03113743,Sanitation Code Violation,Other,2142 W LYNDALE ST,60647.0,1161597.93911654,1915093.81803425,32.0,14.0,22.0,41.92269506267967,-87.68165936016905,"(41.922695062679665, -87.68165936016905)",2015-07-01
83419,07/01/2015,Completed,07/01/2015,15-03118108,Sanitation Code Violation,Other,4000 W PETERSON AVE,60646.0,1148638.99812963,1939575.64841007,39.0,17.0,13.0,41.99013543905233,-87.72864024203972,"(41.99013543905233, -87.72864024203972)",2015-07-01
