Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Location of Trees,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
06/15/2012,Completed - Dup,01/10/2013,12-01087713,Tree Trim,Parkway,11821 S MAPLEWOOD AVE,60655.0,1161520.76657499,1826074.76990147,19.0,22.0,75.0,41.67841710495597,-87.68441221751516,"(41.67841710495597, -87.68441221751515)",2012-06-15
06/15/2012,Completed - Dup,02/27/2013,12-01090086,Tree Trim,Parkway,1515 W GARFIELD BLVD,60636.0,1167124.21678699,1868122.52330255,16.0,7.0,67.0,41.793684676441394,-87.66270213849627,"(41.79368467644139, -87.66270213849627)",2012-06-15
06/15/2012,Completed - Dup,03/05/2013,12-01088608,Tree Trim,Parkway,7835 S ADA ST,60620.0,1168800.5132342,1852809.2509834,17.0,6.0,71.0,41.75162708468707,-87.65699687311741,"(41.75162708468707, -87.65699687311741)",2012-06-15
06/15/2012,Completed - Dup,03/21/2013,12-01086646,Tree Trim,Parkway,4151 N RIDGEWAY AVE,60618.0,1150649.0723841002,1927331.57412563,39.0,17.0,16.0,41.956497727828776,-87.72156834321972,"(41.956497727828776, -87.72156834321972)",2012-06-15
06/15/2012,Completed - Dup,03/21/2013,12-01090510,Tree Trim,Parkway,4151 N RIDGEWAY AVE,60618.0,1150649.0723841002,1927331.57412563,39.0,17.0,16.0,41.956497727828776,-87.72156834321972,"(41.956497727828776, -87.72156834321972)",2012-06-15
06/15/2012,Completed - Dup,03/29/2013,12-01085060,Tree Trim,Parkway,10723 S AVENUE E,60617.0,1203834.7689028,1834466.4062988,10.0,4.0,52.0,41.70046560384725,-87.52924323884565,"(41.70046560384725, -87.52924323884565)",2012-06-15
06/15/2012,Completed - Dup,06/25/2012,12-01084816,Tree Trim,Parkway,4815 S TRIPP AVE,60632.0,1148839.34899013,1872361.81377288,23.0,8.0,57.0,41.80568978806201,-87.7296429286982,"(41.80568978806201, -87.72964292869818)",2012-06-15
06/15/2012,Completed - Dup,06/25/2012,12-01084999,Tree Trim,Parkway,6242 N CICERO AVE,60646.0,1143274.50372651,1940993.67778528,39.0,16.0,12.0,41.994128852556614,-87.74833650760498,"(41.994128852556614, -87.74833650760499)",2012-06-15
06/15/2012,Completed - Dup,06/25/2012,12-01089210,Tree Trim,,3969 N MERRIMAC AVE,60634.0,1133941.24980325,1925771.42463086,38.0,16.0,17.0,41.9525273816465,-87.78302847273703,"(41.9525273816465, -87.78302847273703)",2012-06-15
06/15/2012,Completed - Dup,06/29/2012,12-01084179,Tree Trim,Parkway,620 N MONTICELLO AVE,60624.0,1151941.11726807,1903890.01813123,27.0,11.0,23.0,41.89214668308404,-87.71743738488281,"(41.89214668308404, -87.71743738488281)",2012-06-15
06/15/2012,Completed - Dup,07/11/2012,12-01087546,Tree Trim,Parkway,6743 S JUSTINE ST,60636.0,1167167.04601065,1859951.01510288,17.0,7.0,67.0,41.771260125718214,-87.66277875995668,"(41.771260125718214, -87.66277875995668)",2012-06-15
06/15/2012,Completed - Dup,08/21/2012,12-01089967,Tree Trim,Parkway,1663 W 92ND ST,60620.0,1166795.6467812,1843681.0145112,21.0,22.0,73.0,41.7266208836062,-87.66460370758548,"(41.7266208836062, -87.66460370758548)",2012-06-15
06/15/2012,Completed - Dup,08/31/2012,12-01086097,Tree Trim,Parkway,616 N PINE AVE,60644.0,1139420.47859184,1903533.71097352,37.0,15.0,25.0,41.89140634702415,-87.76342959455246,"(41.89140634702416, -87.76342959455245)",2012-06-15
