Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Location of Trees,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
01/01/2011,Completed,03/03/2011,11-00000535,Tree Trim,Vacant Lot,4352 W CARROLL AVE,60624.0,1147306.99082365,1901942.60811419,28.0,11.0,26.0,41.88689279158362,-87.73450660677538,"(41.88689279158362, -87.73450660677537)",2011-01-01
01/02/2011,Completed - Dup,05/14/2012,11-00003745,Tree Trim,Parkway,3100 W 107TH ST,60655.0,1157553.69860786,1833514.70912471,19.0,22.0,74.0,41.698914776486,-87.69873266504874,"(41.698914776486, -87.69873266504874)",2011-01-02
01/02/2011,Completed - Dup,10/19/2012,11-00004295,Tree Trim,Parkway,6819 S KENNETH AVE,60629.0,1147884.067095,1859037.93848822,13.0,8.0,65.0,41.769145308685786,-87.73348751352323,"(41.76914530868579, -87.73348751352323)",2011-01-02
01/02/2011,Completed,01/23/2013,11-00004486,Tree Trim,Parkway,3241 N RUTHERFORD AVE,60634.0,1130850.9248093,1920798.00952551,36.0,16.0,17.0,41.93893365949575,-87.79450377047064,"(41.938933659495746, -87.79450377047064)",2011-01-02
01/02/2011,Completed,03/10/2011,11-00004195,Tree Trim,Parkway,6029 S NATOMA AVE,60638.0,1133104.19446906,1863822.32458836,23.0,8.0,64.0,41.7825446669779,-87.78755342707431,"(41.7825446669779, -87.78755342707431)",2011-01-02
01/02/2011,Completed,08/20/2012,11-00004553,Tree Trim,Parkway,1262 N PAULINA ST,60622.0,1164839.17070053,1908611.61939458,1.0,14.0,24.0,41.90483927731252,-87.66993428217056,"(41.90483927731252, -87.66993428217057)",2011-01-02
01/03/2011,Completed - Dup,01/07/2011,11-00011215,Tree Trim,Parkway,9528 S LAFAYETTE AVE,60628.0,1177594.91641084,1841776.9155671,21.0,5.0,49.0,41.721158755695406,-87.62510235612687,"(41.72115875569541, -87.62510235612687)",2011-01-03
01/03/2011,Completed - Dup,03/14/2011,11-00009553,Tree Trim,Parkway,3333 N NATCHEZ AVE,60634.0,1132457.85232647,1921460.31883125,36.0,16.0,17.0,41.94072324273747,-87.78858231969609,"(41.94072324273747, -87.78858231969608)",2011-01-03
01/03/2011,Completed - Dup,03/14/2011,11-00011959,Tree Trim,Parkway,3347 N NORMANDY AVE,60634.0,1131157.17329662,1921515.78872876,36.0,16.0,17.0,41.94089804048973,-87.79336158983715,"(41.94089804048973, -87.79336158983716)",2011-01-03
01/03/2011,Completed - Dup,04/18/2012,11-00007029,Tree Trim,Parkway,8364 S BALTIMORE AVE,60617.0,1196988.35321497,1850083.56030458,10.0,4.0,46.0,41.743493110060506,-87.55379382251628,"(41.743493110060506, -87.5537938225163)",2011-01-03
