,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
0,01/01/2011,Completed - Dup,01/07/2011,11-00002767,Abandoned Vehicle Complaint,0000000000,Jeep/Cherokee,Red,,,20.0,5629 N KEDVALE AVE,60646.0,1147716.70081754,1937054.16743335,39.0,17.0,13.0,,41.98368036159757,-87.73196637367461,"(41.983680361597564, -87.7319663736746)",2011-01-01
1,01/01/2011,Completed - Dup,01/07/2011,11-00002779,Abandoned Vehicle Complaint,REAR PLATE STARTS W/848 AND FRONT PLATE STARTS W/ K,Isuzu,Red,,,24.0,5629 N KEDVALE AVE,60646.0,1147716.70081754,1937054.16743335,39.0,17.0,13.0,,41.98368036159757,-87.73196637367461,"(41.983680361597564, -87.7319663736746)",2011-01-01
2,01/01/2011,Completed - Dup,01/20/2011,11-00003001,Abandoned Vehicle Complaint,9381880,Toyota,Silver,,,,2053 N KILBOURN AVE,60639.0,1146056.03097988,1913268.75790263,31.0,25.0,20.0,,41.918587741623824,-87.73868431751842,"(41.91858774162382, -87.73868431751842)",2011-01-01
3,01/01/2011,Completed - Dup,01/21/2011,11-00003309,Abandoned Vehicle Complaint,MI S CS860,Jeep/Cherokee,Gold,,,,736 W BUENA AVE,60613.0,1170576.48887782,1928213.79082563,46.0,23.0,3.0,,41.95860696269332,-87.64887590959788,"(41.95860696269331, -87.64887590959788)",2011-01-01
4,01/01/2011,Completed - Dup,01/21/2011,11-00003316,Abandoned Vehicle Complaint,MI SCS860,,Gold,,,,736 W BUENA AVE,60613.0,1170576.48887782,1928213.79082563,46.0,23.0,3.0,,41.95860696269332,-87.64887590959788,"(41.95860696269331, -87.64887590959788)",2011-01-01
5,01/01/2011,Completed,01/05/2011,11-00001976,Abandoned Vehicle Complaint,H924236,Ford,White,,,60.0,6059 S KOMENSKY AVE,60629.0,1150407.76690181,1864110.04242601,13.0,8.0,65.0,3.0,41.782374284059756,-87.72394038021173,"(41.78237428405976, -87.72394038021173)",2011-01-01
6,01/01/2011,Completed,01/05/2011,11-00002291,Abandoned Vehicle Complaint,810 LYB    WISCONSIN PLATES,Mercury,Green,,,,4651 S WASHTENAW AVE,60632.0,1159150.32010211,1873712.02067414,12.0,9.0,58.0,,41.808635008430905,-87.69162625248853,"(41.80863500843091, -87.69162625248853)",2011-01-01
7,01/01/2011,Completed,01/05/2011,11-00002696,Abandoned Vehicle Complaint,368M783,Buick,Gold,,,10.0,6200 S MASSASOIT AVE,60638.0,1139136.61010288,1862867.57328148,13.0,8.0,64.0,,41.77972261151146,-87.76560265994307,"(41.77972261151146, -87.76560265994306)",2011-01-01
8,01/01/2011,Completed,01/05/2011,11-00003094,Abandoned Vehicle Complaint,000000000,Dodge,White,,,30.0,5816 S ALBANY AVE,60629.0,1156709.11881086,1865903.47437797,14.0,8.0,63.0,59.0,41.78756085777093,-87.70109289200148,"(41.78756085777093, -87.70109289200148)",2011-01-01
9,01/01/2011,Completed,01/05/2011,11-00003456,Abandoned Vehicle Complaint,TEXAS PLATE  -  SMALL FLATBED HITCH TRAILER  -  MISSING TIRES,,Black,,,,4559 S KEELER AVE,60632.0,1149119.58230237,1874073.4099702,14.0,8.0,57.0,,41.809735337429046,-87.7283998293472,"(41.809735337429046, -87.72839982934718)",2011-01-01
10,01/01/2011,Completed,01/06/2011,11-00001684,Abandoned Vehicle Complaint,653L405,Dodge,Purple,,,7.0,10323 S BENSLEY AVE,60617.0,1194511.52971831,1837024.79800294,10.0,4.0,51.0,,41.70742585487349,-87.56314427550737,"(41.707425854873485, -87.56314427550738)",2011-01-01
11,01/01/2011,Completed,01/06/2011,11-00002228,Abandoned Vehicle Complaint,7299,Bmw,Blue,,,15.0,11630 S BISHOP ST,60643.0,1168755.41307576,1827618.82629451,34.0,5.0,53.0,,41.68211252629219,-87.65802066089,"(41.682112526292194, -87.65802066089002)",2011-01-01
12,01/01/2011,Completed,01/07/2011,11-00002087,Abandoned Vehicle Complaint,H310965,Saab,Black,,,9.0,1634 W MARQUETTE RD,60636.0,1166479.79751037,1860279.19200743,15.0,7.0,67.0,,41.772283980627044,-87.66539934833678,"(41.77228398062705, -87.66539934833676)",2011-01-01
13,01/01/2011,Completed,01/07/2011,11-00002300,Abandoned Vehicle Complaint,L204096,Ford,White,,,30.0,6806 S CRANDON AVE,60649.0,1192495.45796601,1860280.9465293,5.0,3.0,43.0,,41.77143398206719,-87.57006880411762,"(41.77143398206719, -87.57006880411762)",2011-01-01
14,01/01/2011,Completed,01/11/2011,11-00001937,Abandoned Vehicle Complaint,NO PLATES,Audi,Blue,Place 7 Day Sticker,Follow on Activity was created,30.0,2431 N ROCKWELL ST,60647.0,1158627.28987542,1916065.6327763,1.0,14.0,22.0,,41.925846059603856,-87.69241409332787,"(41.925846059603856, -87.69241409332786)",2011-01-01
15,01/01/2011,Completed,01/11/2011,11-00002077,Abandoned Vehicle Complaint,H284292,Mercury,Black,Place 7 Day Sticker,Follow on Activity was created,21.0,2735 N MANGO AVE,60639.0,1137579.6235325001,1917602.51841012,30.0,25.0,19.0,,41.930458002693,-87.76971783093407,"(41.930458002693, -87.76971783093406)",2011-01-01
16,01/01/2011,Completed,01/11/2011,11-00003278,Abandoned Vehicle Complaint,NORTH CAROLINA PLATES SZL2324,Chevrolet,Silver,Place 7 Day Sticker,Follow on Activity was created,,3227 N RIDGEWAY AVE,60618.0,1150824.16989512,1921198.81343055,35.0,17.0,21.0,,41.93999714133287,-87.72094767679964,"(41.93999714133287, -87.72094767679964)",2011-01-01
17,01/01/2011,Completed,01/11/2011,11-00003470,Abandoned Vehicle Complaint,8512402,Ford,White,Place 7 Day Sticker,Follow on Activity was created,45.0,2852 N KENNETH AVE,60641.0,1146225.00662107,1918593.2178075002,31.0,25.0,20.0,,41.93320740415167,-87.73822256151371,"(41.933207404151666, -87.73822256151371)",2011-01-01
