,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
55138,01/01/2014,Completed,01/02/2014,14-00000441,Sanitation Code Violation,Other,6549 N KEDZIE AVE,60645.0,1153852.50746907,1943245.72989923,50.0,24.0,2.0,42.00010370233874,-87.70936544061995,"(42.00010370233874, -87.70936544061996)",2014-01-01
55139,01/01/2014,Completed,01/02/2014,14-00002146,Sanitation Code Violation,Overflowing carts,1507 W JARVIS AVE,60626.0,1164971.41771506,1949139.13642976,49.0,24.0,1.0,42.01604569442481,-87.66829311410214,"(42.01604569442481, -87.66829311410214)",2014-01-01
55143,01/01/2014,Completed,01/03/2014,14-00001835,Sanitation Code Violation,Dumpster not being emptied,5 N WABASH AVE,60602.0,1176808.52743339,1900430.17500362,42.0,1.0,32.0,41.8821265615929,-87.62621534607035,"(41.8821265615929, -87.62621534607035)",2014-01-01
55144,01/02/2014,Completed,01/03/2014,14-00006844,Sanitation Code Violation,Other,6527 N NIXON AVE,,1128087.16001769,1943170.26299262,41.0,16.0,10.0,42.0003727081143,-87.80415365280777,"(42.0003727081143, -87.80415365280777)",2014-01-02
55145,01/03/2014,Completed,01/03/2014,14-00008390,Sanitation Code Violation,Overflowing carts,1534 N ORLEANS ST,60610.0,1173624.87306714,1910668.72538289,27.0,18.0,8.0,41.91029309909069,-87.63760072920597,"(41.910293099090694, -87.63760072920597)",2014-01-03
55154,01/02/2014,Completed - Dup,01/04/2014,14-00007010,Sanitation Code Violation,Dumpster not being emptied,2537 N SHEFFIELD AVE,60614.0,1169189.58182963,1917151.98009312,43.0,19.0,7.0,41.92818106299216,-87.65370540261033,"(41.92818106299216, -87.65370540261033)",2014-01-02
55155,01/02/2014,Completed,01/04/2014,14-00006929,Sanitation Code Violation,Overflowing carts,2537 N SHEFFIELD AVE,60614.0,1169189.58182963,1917151.98009312,43.0,19.0,7.0,41.92818106299216,-87.65370540261033,"(41.92818106299216, -87.65370540261033)",2014-01-02
55156,01/02/2014,Completed,01/04/2014,14-00007292,Sanitation Code Violation,Other,1520 W NORTH AVE,60642.0,1165987.38428073,1910741.1059341,1.0,14.0,24.0,41.91065828446118,-87.66565567781929,"(41.91065828446118, -87.6656556778193)",2014-01-02
55157,01/03/2014,Completed,01/04/2014,14-00008271,Sanitation Code Violation,Overflowing carts,1254 N NOBLE ST,60642.0,1166821.99229022,1908571.66007907,1.0,14.0,24.0,41.90468731698998,-87.66265196186781,"(41.90468731698998, -87.66265196186782)",2014-01-03
55158,01/03/2014,Completed,01/04/2014,14-00008287,Sanitation Code Violation,Garbage in alley,1407 W POTOMAC AVE,60642.0,1166741.08996784,1908759.60002121,1.0,14.0,24.0,41.905204771858784,-87.66294374311809,"(41.90520477185878, -87.6629437431181)",2014-01-03
55159,01/03/2014,Completed,01/04/2014,14-00009375,Sanitation Code Violation,Other,3934 W 64TH PL,60629.0,1151251.36270507,1861537.92652339,13.0,8.0,65.0,41.77594056964257,-87.72107919781818,"(41.775940569642565, -87.72107919781818)",2014-01-03
55160,01/03/2014,Completed,01/04/2014,14-00010747,Sanitation Code Violation,Other,612 W PATTERSON AVE,60613.0,1171133.39770067,1924688.08887192,46.0,19.0,6.0,41.94881794783712,-87.64634071310948,"(41.948817947837114, -87.64634071310947)",2014-01-03
55161,01/03/2014,Completed,01/04/2014,14-00010970,Sanitation Code Violation,Garbage in alley,1038 S OAKLEY BLVD,60612.0,1161213.40641543,1895167.40987911,25.0,12.0,28.0,41.86802338352857,-87.68362668888845,"(41.86802338352858, -87.68362668888845)",2014-01-03
55162,01/03/2014,Completed,01/04/2014,14-00012114,Sanitation Code Violation,Dumpster not being emptied,2257 W BELMONT AVE,60618.0,1160752.60538783,1921210.36463404,32.0,19.0,5.0,41.93949685128898,-87.68459533802287,"(41.93949685128898, -87.68459533802287)",2014-01-03
55163,01/04/2014,Completed,01/04/2014,14-00012949,Sanitation Code Violation,Other,2010 N KENMORE AVE,60614.0,1168979.01000205,1913539.2504913998,43.0,18.0,7.0,41.91827212190312,-87.6545842526455,"(41.918272121903115, -87.65458425264552)",2014-01-04
55164,01/04/2014,Completed,01/04/2014,14-00012955,Sanitation Code Violation,Garbage in alley,2212 N BURLING ST,60614.0,1170913.85011322,1914933.10603238,43.0,18.0,7.0,41.922054689588094,-87.64743460667431,"(41.92205468958809, -87.64743460667431)",2014-01-04
55165,01/04/2014,Completed,01/04/2014,14-00012963,Sanitation Code Violation,Garbage in alley,2700 N DAYTON ST,60614.0,1170146.99142947,1918142.10001896,43.0,19.0,7.0,41.93087712037408,-87.65015830295131,"(41.93087712037408, -87.65015830295131)",2014-01-04
