,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
64769,01/01/2014,Completed,01/02/2014,14-00000292,Abandoned Vehicle Complaint,A54 5593,(Unlisted Make),Silver,FVI - Outcome,Vehicle was moved from original address requested,3.0,2442 W GREENLEAF AVE,60645.0,,,50.0,24.0,2.0,,42.009604292181905,-87.69118380611415,"(42.00960429218191, -87.69118380611415)",2014-01-01
64770,01/01/2014,Completed,01/02/2014,14-00000764,Abandoned Vehicle Complaint,51885V,Chevrolet,Red,FVI - Outcome,Vehicle was moved from original address requested,60.0,3137 S PRAIRIE AVE,60616.0,,,2.0,2.0,35.0,,41.83726860703261,-87.6204631858333,"(41.837268607032605, -87.62046318583329)",2014-01-01
64771,01/01/2014,Completed,01/02/2014,14-00001135,Abandoned Vehicle Complaint,MANY,(Unlisted Manufacturer),Multi - Color,FVI - Outcome,Vehicle was moved from original address requested,2.0,932 W LAWRENCE AVE,60640.0,,,48.0,20.0,3.0,34.0,41.96921314461826,-87.6537709696599,"(41.96921314461826, -87.6537709696599)",2014-01-01
64772,01/02/2014,Completed,01/02/2014,14-00002500,Abandoned Vehicle Complaint,609 4400,Honda,Silver,FVI - Outcome,Vehicle was moved from original address requested,8.0,947 W BELMONT AVE,60657.0,,,44.0,19.0,6.0,17.0,41.93980928980607,-87.65338640717829,"(41.93980928980607, -87.6533864071783)",2014-01-02
64796,01/02/2014,Completed,01/03/2014,14-00006695,Abandoned Vehicle Complaint,2581016,Lexus,Black,FVI - Outcome,Vehicle was moved from original address requested,30.0,4563 S MICHIGAN AVE,60653.0,,,3.0,2.0,38.0,,41.81125870704504,-87.62274179271307,"(41.81125870704504, -87.62274179271307)",2014-01-02
64797,01/02/2014,Completed,01/03/2014,14-00007394,Abandoned Vehicle Complaint,X375312,Ford,Green,FVI - Outcome,Vehicle was moved from original address requested,9.0,641 W 43RD PL,60609.0,,,11.0,9.0,61.0,,41.815214277319704,-87.64248197066445,"(41.8152142773197, -87.64248197066446)",2014-01-02
64798,01/02/2014,Completed,01/03/2014,14-00007518,Abandoned Vehicle Complaint,R975407,Saturn,Beige,FVI - Outcome,Vehicle was moved from original address requested,7.0,6143 S KILPATRICK AVE,60629.0,,,13.0,8.0,64.0,,41.78083052622481,-87.73977853821467,"(41.78083052622481, -87.73977853821465)",2014-01-02
64799,01/02/2014,Completed,01/03/2014,14-00008179,Abandoned Vehicle Complaint,NONE,Volkswagen,Black,FVI - Outcome,Vehicle was moved from original address requested,1.0,6425 S FAIRFIELD AVE,60629.0,,,15.0,8.0,66.0,,41.776485044645426,-87.69195966521715,"(41.77648504464543, -87.69195966521715)",2014-01-02
64821,01/05/2014,Completed,01/06/2014,14-00016363,Abandoned Vehicle Complaint,649 5259,(Unlisted Make),Red,FVI - Outcome,Return to Owner - Vehicle,12.0,3532 S UNION AVE,60609.0,,,11.0,9.0,60.0,,41.82978066820355,-87.64379460713705,"(41.82978066820355, -87.64379460713705)",2014-01-05
64822,01/03/2014,Completed,01/06/2014,14-00008606,Abandoned Vehicle Complaint,9322583,Dodge,Blue,FVI - Outcome,Vehicle was moved from original address requested,30.0,4747 S LOOMIS BLVD,60609.0,,,3.0,9.0,61.0,13.0,41.80727908967304,-87.6599233647691,"(41.80727908967304, -87.65992336476909)",2014-01-03
64823,01/03/2014,Completed,01/06/2014,14-00010512,Abandoned Vehicle Complaint,DONT KNOW,Dodge,White,FVI - Outcome,Vehicle was moved from original address requested,15.0,4720 S UNION AVE,60609.0,,,11.0,9.0,61.0,,41.80817670943421,-87.64323914003711,"(41.808176709434214, -87.64323914003712)",2014-01-03
64824,01/03/2014,Completed,01/06/2014,14-00012194,Abandoned Vehicle Complaint,R13 7031,Ford,Red,FVI - Outcome,Vehicle was moved from original address requested,18.0,1952 W BYRON ST,60613.0,,,47.0,19.0,5.0,38.0,41.9524482244583,-87.6783759492799,"(41.9524482244583, -87.67837594927991)",2014-01-03
64825,01/04/2014,Completed,01/06/2014,14-00012968,Abandoned Vehicle Complaint,320372 RV,(Unlisted Make),White,FVI - Outcome,Vehicle was moved from original address requested,25.0,8002 S MAY ST,60620.0,,,21.0,6.0,71.0,,41.7485441865104,-87.6526212747883,"(41.748544186510394, -87.65262127478832)",2014-01-04
64826,01/04/2014,Completed,01/06/2014,14-00013105,Abandoned Vehicle Complaint,P131559,Toyota,Red,FVI - Outcome,Vehicle was moved from original address requested,30.0,2204 W ARTHUR AVE,60645.0,,,50.0,24.0,2.0,,41.99973139829088,-87.68529461522486,"(41.999731398290876, -87.68529461522486)",2014-01-04
64827,01/04/2014,Completed,01/06/2014,14-00013153,Abandoned Vehicle Complaint,5721640,Nissan,Gray,FVI - Outcome,Vehicle was moved from original address requested,20.0,2327 N MAJOR AVE,60639.0,,,37.0,25.0,19.0,,41.922948936316224,-87.76823866269629,"(41.92294893631623, -87.76823866269628)",2014-01-04
64828,01/04/2014,Completed,01/06/2014,14-00013426,Abandoned Vehicle Complaint,N779884,Chevrolet,Black,FVI - Outcome,Vehicle was moved from original address requested,60.0,161 W SCHILLER ST,60610.0,,,43.0,18.0,8.0,,41.907566191592544,-87.6339977434611,"(41.90756619159254, -87.6339977434611)",2014-01-04
64829,01/04/2014,Completed,01/06/2014,14-00013988,Abandoned Vehicle Complaint,CANT TELL-COVERED IN SNOW,Hyundai,Silver,FVI - Outcome,Vehicle was moved from original address requested,7.0,3208 S LITUANICA AVE,60608.0,,,11.0,9.0,60.0,,41.836124710936325,-87.64880678899686,"(41.83612471093632, -87.64880678899686)",2014-01-04
64830,01/04/2014,Completed,01/06/2014,14-00014065,Abandoned Vehicle Complaint,R805505,Chrysler,Black,FVI - Outcome,Return to Owner - Vehicle,22.0,4836 S BISHOP ST,60609.0,,,20.0,9.0,61.0,,41.805722468843754,-87.66139162841971,"(41.80572246884376, -87.66139162841971)",2014-01-04
64831,01/02/2014,Completed,01/06/2014,14-00004301,Abandoned Vehicle Complaint,MANY,(Unlisted Manufacturer),Multi - Color,FVI - Outcome,Vehicle was moved from original address requested,2.0,932 W LAWRENCE AVE,60640.0,,,48.0,20.0,3.0,34.0,41.96921314461826,-87.6537709696599,"(41.96921314461826, -87.6537709696599)",2014-01-02
64832,01/02/2014,Completed,01/06/2014,14-00007966,Abandoned Vehicle Complaint,P12 8039,Lincoln,Tan,FVI - Outcome,Vehicle was moved from original address requested,25.0,1115 N LAWLER AVE,60651.0,,,37.0,15.0,25.0,,41.90094660000383,-87.75192097237363,"(41.90094660000383, -87.75192097237363)",2014-01-02
