,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
3571,07/29/2013,Completed,08/26/2013,13-01039818,Abandoned Vehicle Complaint,,,,,,,224 N PINE AVE,60644.0,1139461.86521203,1901059.65601074,28.0,15.0,25.0,,41.88502486852641,-87.76349939992241,"(41.88502486852641, -87.7634993999224)",2013-07-29
3592,07/29/2013,Completed,08/26/2013,13-01039819,Abandoned Vehicle Complaint,,,,,,,2439 W MADISON ST,60612.0,1149659.18696648,1887386.6298185003,22.0,10.0,30.0,,41.88103729905556,-87.6878351399658,"(41.88103729905556, -87.6878351399658)",2013-07-29
54701,07/06/2013,Completed - Dup,07/10/2013,13-00889500,Abandoned Vehicle Complaint,10507,Honda,Silver,,,30.0,4010 W WARWICK AVE,60641.0,1148971.48638502,1924624.08999892,30.0,17.0,16.0,,41.949208553421656,-87.72801653594908,"(41.949208553421656, -87.72801653594908)",2013-07-06
54740,07/01/2013,Completed,07/01/2013,13-00859878,Abandoned Vehicle Complaint,L932885,Pontiac,Tan,FVI - Outcome,Return to Owner - Vehicle,45.0,722 W 54TH PL,60609.0,,,3.0,9.0,61.0,,41.79535435383424,-87.64368053592156,"(41.79535435383424, -87.64368053592156)",2013-07-01
54846,07/03/2013,Completed - Dup,07/03/2013,13-00876354,Abandoned Vehicle Complaint,61424FF,Mazda,Red,FVI - Outcome,Create Work Order,36.0,6904 N WAYNE AVE,60626.0,1165892.57941095,1945789.46897809,49.0,24.0,1.0,24.0,42.00688345983739,-87.66514835227859,"(42.00688345983739, -87.6651483522786)",2013-07-03
54847,07/02/2013,Completed - Dup,07/03/2013,13-00866238,Abandoned Vehicle Complaint,61424,Mazda,Red,,,60.0,6904 N WAYNE AVE,60626.0,1165892.57941095,1945789.46897809,49.0,24.0,1.0,24.0,42.00688345983739,-87.66514835227859,"(42.00688345983739, -87.6651483522786)",2013-07-02
54848,07/02/2013,Completed - Dup,07/03/2013,13-00871003,Abandoned Vehicle Complaint,R222707,Bmw,Blue,,,48.0,2447 W HOLLYWOOD AVE,60659.0,1158881.83430405,1937772.10277165,40.0,20.0,2.0,,41.984870763975366,-87.69140002831409,"(41.98487076397537, -87.6914000283141)",2013-07-02
54849,07/02/2013,Completed - Dup,07/03/2013,13-00872149,Abandoned Vehicle Complaint,N95 3439,Chrysler,White,,,180.0,2109 W ADAMS ST,60612.0,1162339.94988756,1899065.46483379,2.0,12.0,28.0,,41.87858386642732,-87.67942367392719,"(41.87858386642732, -87.67942367392719)",2013-07-02
54850,07/02/2013,Completed - Dup,07/03/2013,13-00872280,Abandoned Vehicle Complaint,UNKNOWN,Chrysler,Burgundy,,,30.0,3120 W OHIO ST,60612.0,1155388.98181145,1903830.43650329,27.0,12.0,23.0,,41.892022240512425,-87.70496954716313,"(41.89202224051242, -87.70496954716313)",2013-07-02
54851,07/01/2013,Completed - Dup,07/03/2013,13-00858228,Abandoned Vehicle Complaint,N95 3439,Chrysler,White,,,180.0,2113 W ADAMS ST,60612.0,1162296.44988756,1899063.96483379,2.0,12.0,28.0,,41.878580921038775,-87.6795950692012,"(41.878580921038775, -87.67959506920121)",2013-07-01
