,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
1975,02/23/2011,Completed,03/22/2011,11-00308349,Abandoned Vehicle Complaint,,,,,,,459 E LOWER WACKER DR,60601.0,1179451.0691,1902373.9876,42.0,1.0,32.0,,41.88726182884482,-87.61586440712509,"(41.88726182884482, -87.6158644071251)",2011-02-23
5973,02/01/2011,Completed - Dup,02/15/2011,11-00153869,Abandoned Vehicle Complaint,K158945,(Unlisted Make),White,,,21.0,9259 S STATE ST,60619.0,1177921.39157347,1843589.14002832,6.0,6.0,49.0,,41.72547924453846,-87.62368745344149,"(41.72547924453846, -87.62368745344148)",2011-02-01
5974,02/01/2011,Completed - Dup,02/15/2011,11-00156158,Abandoned Vehicle Complaint,K158945,,White,,,30.0,9259 S STATE ST,60619.0,1177921.39157347,1843589.14002832,6.0,6.0,49.0,,41.72547924453846,-87.62368745344149,"(41.72547924453846, -87.62368745344148)",2011-02-01
5975,02/01/2011,Completed - Dup,02/15/2011,11-00156859,Abandoned Vehicle Complaint,K158945,"Monon Trailer, Div. Of Evans Products Co.",White,,,40.0,9259 S STATE ST,60619.0,1177921.39157347,1843589.14002832,6.0,6.0,49.0,,41.72547924453846,-87.62368745344149,"(41.72547924453846, -87.62368745344148)",2011-02-01
5976,02/01/2011,Completed - Dup,02/15/2011,11-00156955,Abandoned Vehicle Complaint,K158945,Chrysler,White,,,12.0,9259 S STATE ST,60619.0,1177921.39157347,1843589.14002832,6.0,6.0,49.0,,41.72547924453846,-87.62368745344149,"(41.72547924453846, -87.62368745344148)",2011-02-01
5977,02/01/2011,Completed - Dup,02/15/2011,11-00157083,Abandoned Vehicle Complaint,K158945,Dodge,White,,,30.0,9259 S STATE ST,60619.0,1177921.39157347,1843589.14002832,6.0,6.0,49.0,,41.72547924453846,-87.62368745344149,"(41.72547924453846, -87.62368745344148)",2011-02-01
5978,02/01/2011,Completed - Dup,02/15/2011,11-00157256,Abandoned Vehicle Complaint,K158945,Chrysler,White,,,14.0,9259 S STATE ST,60619.0,1177921.39157347,1843589.14002832,6.0,6.0,49.0,,41.72547924453846,-87.62368745344149,"(41.72547924453846, -87.62368745344148)",2011-02-01
5979,02/01/2011,Completed - Dup,02/16/2011,11-00154223,Abandoned Vehicle Complaint,NO PLATES,Chrysler,Gray,,,15.0,9225 S MARQUETTE AVE,60617.0,1195862.30742199,1844318.83577847,7.0,4.0,48.0,,41.72739349982678,-87.55795478210972,"(41.72739349982678, -87.55795478210972)",2011-02-01
5980,02/01/2011,Completed - Dup,02/22/2011,11-00152536,Abandoned Vehicle Complaint,X969918,Toyota,Gray,,,15.0,2343 W MOFFAT ST,60647.0,1160396.49080068,1912193.52092534,1.0,14.0,22.0,33.0,41.9146209604796,-87.68652730118221,"(41.914620960479596, -87.68652730118222)",2011-02-01
5981,02/01/2011,Completed - Dup,02/25/2011,11-00155674,Abandoned Vehicle Complaint,UNKNOWN,Saturn,Black,,,14.0,9355 S JUSTINE ST,60620.0,1167644.31088895,1842682.02021818,21.0,22.0,73.0,,41.72325750821885,-87.66136238651076,"(41.72325750821885, -87.66136238651075)",2011-02-01
