,School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read.1,Math.1,Science.1,English.1,Composite.1,Community
4,ACE TECH HS,400010.0,Charter,Overall,Overall,11th Grade,2011.0,15.4,17.1,17.2,14.9,16.1,105,105,105,105,105,40
32,AMUNDSEN HS,609695.0,Network 2,Overall,Overall,11th Grade,2011.0,16.3,16.8,17.0,16.2,16.6,367,367,367,367,367,4
40,ASPIRA - EARLY COLLEGE HS,400013.0,Charter,Overall,Overall,11th Grade,2011.0,15.6,16.5,16.2,13.6,15.5,112,112,112,112,112,21
51,ASPIRA CHTR - RAMIREZ HS,400015.0,,Overall,Overall,11th Grade,2011.0,15.3,16.3,16.6,13.6,15.5,96,96,96,96,96,24
57,AUSTIN BUS & ENTRP HS,400018.0,Network 3,Overall,Overall,11th Grade,2011.0,14.3,14.8,15.3,13.3,14.4,61,61,61,61,61,25
64,AUSTIN POLY HS,610501.0,Network 3,Overall,Overall,11th Grade,2011.0,14.7,16.1,15.3,13.6,14.9,78,78,78,78,78,25
89,BOGAN HS,609698.0,Network 10,Overall,Overall,11th Grade,2011.0,15.0,15.8,16.0,14.1,15.2,440,440,440,440,440,70
99,BOWEN HS,610323.0,Network 12,Overall,Overall,11th Grade,2011.0,14.7,15.4,15.6,12.8,14.6,55,55,55,55,55,46
108,BRONZEVILLE HS,610381.0,Network 9,Overall,Overall,11th Grade,2011.0,15.9,16.3,17.1,16.1,16.3,132,132,132,132,132,38
124,BROOKS HS,609726.0,ISP,Overall,Overall,11th Grade,2011.0,22.1,21.1,20.9,21.8,21.5,172,172,172,172,172,49
154,CARVER MILITARY HS,609760.0,Service Leadership Academies,Overall,Overall,11th Grade,2011.0,16.3,16.9,18.1,15.6,16.8,124,125,124,125,124,54
170,CHICAGO ACADEMY HS,610340.0,AUSL,Overall,Overall,11th Grade,2011.0,17.4,19.2,18.8,18.2,18.4,98,98,98,98,98,17
186,CHICAGO AGRICULTURE HS,609753.0,Network 10,Overall,Overall,11th Grade,2011.0,20.4,19.9,20.5,20.9,20.4,113,113,113,113,113,74
200,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Overall,Overall,11th Grade,2011.0,16.6,18.7,18.8,17.6,17.9,73,73,73,73,73,1
215,CHICAGO MILITARY HS,609754.0,Service Leadership Academies,Overall,Overall,11th Grade,2011.0,17.1,17.6,17.9,17.2,17.5,90,90,90,90,90,35
227,CHICAGO VIRTUAL,400036.0,Charter,Overall,Overall,11th Grade,2011.0,19.3,18.3,17.8,19.5,18.7,16,16,16,16,16,28
243,CHICAGO VOCATIONAL HS,609674.0,Network 12,Overall,Overall,11th Grade,2011.0,14.4,14.7,15.2,12.9,14.3,189,189,189,189,189,45
254,CICS - ELLISON HS,400032.0,Charter,Overall,Overall,11th Grade,2011.0,15.9,16.6,16.4,15.9,16.2,126,126,126,126,126,71
260,CICS - HAWKINS HS,400108.0,Charter,Overall,Overall,11th Grade,2011.0,15.6,16.1,16.2,13.3,15.3,45,45,45,45,45,54
276,CICS - LONGWOOD,400033.0,Charter,Overall,Overall,11th Grade,2011.0,16.2,16.8,16.9,16.0,16.5,161,161,161,161,161,73
289,CICS - NORTHTOWN HS,400034.0,Charter,Overall,Overall,11th Grade,2011.0,18.6,18.3,19.1,19.9,19.0,185,185,185,185,185,13
302,CLARK HS,610244.0,Network 3,Overall,Overall,11th Grade,2011.0,15.6,16.0,16.9,14.3,15.7,214,214,214,214,214,25
318,CLEMENTE HS,609759.0,Network 5,Overall,Overall,11th Grade,2011.0,15.0,16.1,15.8,14.7,15.4,296,296,296,296,296,24
325,COLLINS HS,610499.0,AUSL,Overall,Overall,11th Grade,2011.0,15.2,15.9,16.8,14.5,15.6,89,89,89,89,89,29
333,COMMUNITY SERVICES WEST HS,400038.0,Options,Overall,Overall,11th Grade,2011.0,13.7,14.6,14.5,12.5,13.8,44,44,44,44,44,29
349,CORLISS HS,609761.0,Network 13,Overall,Overall,11th Grade,2011.0,13.6,15.4,15.5,12.6,14.3,166,166,166,166,166,50
365,CRANE HS,609702.0,,Overall,Overall,11th Grade,2011.0,14.0,14.9,15.3,12.1,14.0,87,87,87,87,87,28
