Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Location of Trees,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
02/01/2012,Completed - Dup,02/06/2013,12-00140792,Tree Trim,Parkway,7915 S PAXTON AVE,60617.0,1192239.42120192,1852919.9324678,7.0,4.0,46.0,41.75139309497944,-87.57110182344131,"(41.75139309497944, -87.57110182344131)",2012-02-01
02/01/2012,Completed - Dup,02/10/2012,12-00142493,Tree Trim,Parkway,1657 N SAWYER AVE,60647.0,1154331.89077342,1910830.79430602,26.0,14.0,23.0,41.91114538465524,-87.70847138268604,"(41.91114538465524, -87.70847138268604)",2012-02-01
02/01/2012,Completed - Dup,03/27/2012,12-00142625,Tree Trim,Parkway,2477 E 74TH ST,60649.0,1194185.17361909,1856378.12248611,7.0,3.0,43.0,41.760835112118286,-87.56385837734409,"(41.760835112118286, -87.5638583773441)",2012-02-01
02/01/2012,Completed - Dup,10/04/2012,12-00141266,Tree Trim,Parkway,511 W 45TH ST,60609.0,1173636.71112443,1875085.11732301,11.0,9.0,61.0,41.81264884180713,-87.63861500457361,"(41.812648841807125, -87.63861500457361)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142929,Tree Trim,,5600 N CLARK ST,60660.0,1164937.32179381,1937274.47697208,40.0,20.0,77.0,41.98348951846523,-87.66875743266651,"(41.98348951846523, -87.66875743266651)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142934,Tree Trim,,3921 N CLARK ST,60613.0,1167098.81337264,1926166.46008677,44.0,23.0,6.0,41.95296244357049,-87.66112842615654,"(41.95296244357049, -87.66112842615654)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142942,Tree Trim,,3931 N CLARK ST,60613.0,1167059.21337264,1926232.26008677,44.0,23.0,6.0,41.95314385373458,-87.66127210065899,"(41.953143853734574, -87.66127210065898)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142943,Tree Trim,,4023 N CLARK ST,60613.0,1166709.2995788,1926850.24137164,46.0,23.0,3.0,41.954847142734046,-87.66254062154934,"(41.954847142734046, -87.66254062154935)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142960,Tree Trim,,4027 N CLARK ST,60613.0,1166695.2995788,1926879.84137164,46.0,23.0,3.0,41.95492866705312,-87.66259123602642,"(41.95492866705312, -87.66259123602642)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142972,Tree Trim,,4031 N CLARK ST,60613.0,1166681.2995788,1926909.54137164,46.0,23.0,3.0,41.95501046575379,-87.6626418477544,"(41.955010465753794, -87.6626418477544)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142977,Tree Trim,,4047 N CLARK ST,60613.0,1166625.3995788,1927027.94137164,46.0,23.0,3.0,41.95533656056766,-87.6628439398367,"(41.95533656056766, -87.6628439398367)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142982,Tree Trim,,4049 N CLARK ST,60613.0,1166618.3995788,1927042.84137164,46.0,23.0,3.0,41.95537759706663,-87.66286924456683,"(41.95537759706663, -87.66286924456685)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142983,Tree Trim,,4055 N CLARK ST,60613.0,1166597.3555283998,1927087.26791056,46.0,23.0,3.0,41.955499957086786,-87.66294532875239,"(41.955499957086786, -87.66294532875239)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142988,Tree Trim,,4201 N CLARK ST,60613.0,1166162.41272058,1928015.23031286,46.0,23.0,3.0,41.95805564996278,-87.66451763753516,"(41.95805564996278, -87.66451763753516)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142991,Tree Trim,,4203 N CLARK ST,60613.0,1166155.61272058,1928035.63031286,46.0,23.0,3.0,41.95811177403184,-87.66454205132246,"(41.95811177403184, -87.66454205132246)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142993,Tree Trim,,4205 N CLARK ST,60613.0,1166148.81272058,1928056.03031286,46.0,23.0,3.0,41.958167898095496,-87.66456646515203,"(41.95816789809549, -87.66456646515203)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142996,Tree Trim,,4101 N CLARK ST,60613.0,1166439.1555283999,1927422.36791056,46.0,23.0,3.0,41.95642287985039,-87.66351727354404,"(41.95642287985039, -87.66351727354404)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00142997,Tree Trim,,4105 N CLARK ST,60613.0,1166421.7555284,1927459.36791056,46.0,23.0,3.0,41.956524782557565,-87.66358017712423,"(41.956524782557565, -87.66358017712423)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143000,Tree Trim,,4111 N CLARK ST,60613.0,1166395.5555283998,1927514.86791056,46.0,23.0,3.0,41.95667763869733,-87.66367490049312,"(41.95667763869733, -87.66367490049312)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143002,Tree Trim,,4115 N CLARK ST,60613.0,1166378.1555283999,1927551.86791056,46.0,23.0,3.0,41.956779541317246,-87.66373780457081,"(41.95677954131725, -87.66373780457081)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143005,Tree Trim,,4129 N CLARK ST,60613.0,1166317.14999109,1927681.50000194,46.0,23.0,3.0,41.95713656493909,-87.66395835460025,"(41.95713656493909, -87.66395835460025)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143009,Tree Trim,,4141 N CLARK ST,60613.0,1166264.74999109,1927792.50000194,46.0,23.0,3.0,41.95744227650938,-87.66414780537669,"(41.95744227650938, -87.66414780537669)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143010,Tree Trim,,4145 N CLARK ST,60613.0,1166247.34999109,1927829.50000194,46.0,23.0,3.0,41.95754417886757,-87.66421071094734,"(41.957544178867565, -87.66421071094734)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143028,Tree Trim,,4223 N CLARK ST,60613.0,1166087.59090864,1928239.5503042,46.0,23.0,3.0,41.95867279534394,-87.66478627400423,"(41.958672795343944, -87.66478627400423)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143038,Tree Trim,,4221 N CLARK ST,60613.0,1166094.39090864,1928219.1503042,46.0,23.0,3.0,41.95861667132915,-87.6647618597942,"(41.95861667132916, -87.66476185979421)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143041,Tree Trim,,4233 N CLARK ST,60613.0,1166053.89090864,1928341.0503042,46.0,23.0,3.0,41.958952036894566,-87.66490725710995,"(41.95895203689456, -87.66490725710996)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143044,Tree Trim,,4235 N CLARK ST,60613.0,1166050.89090864,1928350.7503042,46.0,23.0,3.0,41.95897871830432,-87.66491800811725,"(41.95897871830432, -87.66491800811727)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143046,Tree Trim,,4241 N CLARK ST,60613.0,1166041.69090864,1928380.0503042,46.0,23.0,3.0,41.95905931561607,-87.6649509907365,"(41.95905931561607, -87.6649509907365)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143051,Tree Trim,,4251 N CLARK ST,60613.0,1166026.39090864,1928428.9503042,46.0,23.0,3.0,41.9591938266694,-87.66500583749223,"(41.9591938266694, -87.66500583749223)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143053,Tree Trim,,4257 N CLARK ST,60613.0,1166017.19090864,1928458.2503042,46.0,23.0,3.0,41.959274423954504,-87.66503882032987,"(41.9592744239545, -87.66503882032987)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143055,Tree Trim,,4301 N CLARK ST,60613.0,1165950.02680366,1928673.49940256,46.0,23.0,3.0,41.959866513341645,-87.66527957366391,"(41.95986651334165, -87.6652795736639)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143058,Tree Trim,,4305 N CLARK ST,60613.0,1165938.02680366,1928714.09940256,46.0,23.0,3.0,41.95997817809999,-87.66532252737555,"(41.95997817809999, -87.66532252737554)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143071,Tree Trim,,4333 N CLARK ST,60613.0,1165853.95421157,1928997.48982317,46.0,23.0,3.0,41.960757610961814,-87.66562349756953,"(41.96075761096181, -87.66562349756951)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143074,Tree Trim,,4341 N CLARK ST,60613.0,1165842.75421157,1929036.08982317,46.0,23.0,3.0,41.960863770397204,-87.66566356855391,"(41.960863770397204, -87.6656635685539)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143076,Tree Trim,,4351 N CLARK ST,60613.0,1165828.75421157,1929084.38982317,46.0,23.0,3.0,41.9609966068724,-87.66571365603626,"(41.9609966068724, -87.66571365603626)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143118,Tree Trim,,3858 N HERMITAGE AVE,60613.0,1163989.27619912,1925668.71222961,47.0,19.0,6.0,41.951662957234774,-87.67257334701297,"(41.95166295723477, -87.67257334701299)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143165,Tree Trim,,3527 N OPAL AVE,60634.0,1123124.50678834,1922479.98920652,36.0,16.0,17.0,41.94367898025897,-87.82286417615515,"(41.943678980258966, -87.82286417615516)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143166,Tree Trim,,3531 N OPAL AVE,60634.0,1123123.40678834,1922509.58920652,36.0,16.0,17.0,41.94376022437003,-87.82286757142526,"(41.94376022437003, -87.82286757142526)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143169,Tree Trim,,3533 N OPAL AVE,60634.0,1123122.90678834,1922524.28920652,36.0,16.0,17.0,41.943800571195396,-87.82286908747082,"(41.9438005711954, -87.82286908747082)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143264,Tree Trim,,7256 N ODELL AVE,60631.0,1126394.0063874,1947632.82936941,41.0,16.0,9.0,42.01264694028087,-87.8102822458054,"(42.01264694028087, -87.8102822458054)",2012-02-01
02/01/2012,Completed,02/01/2012,12-00143332,Tree Trim,,3736 N HERMITAGE AVE,60613.0,1164011.49867883,1924854.94122516,47.0,19.0,6.0,41.94942945943089,-87.6725147224025,"(41.94942945943089, -87.6725147224025)",2012-02-01
