,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
61994,02/21/2014,Completed,03/28/2014,14-00251192,Abandoned Vehicle Complaint,913YWD,Dodge,Gray,FVI - Outcome,Need Vehicle Tow Report,60.0,4200 W 50TH ST,60632.0,,,23.0,8.0,57.0,,41.802432779977615,-87.72838566503005,"(41.802432779977615, -87.72838566503005)",2014-02-21
66241,02/07/2014,Completed,02/07/2014,14-00181872,Abandoned Vehicle Complaint,,,,FVI - Outcome,Return to Owner - Vehicle,,103 E 103RD ST,60628.0,,,9.0,5.0,49.0,41.0,41.70710790171661,-87.6200393060303,"(41.707107901716604, -87.62003930603032)",2014-02-07
66545,02/03/2014,Completed - Dup,02/03/2014,14-00158060,Abandoned Vehicle Complaint,737WEZ,Subaru,Black,FVI - Outcome,Create Work Order,30.0,680 S FEDERAL ST,60605.0,1175902.77391728,1897310.72650764,2.0,1.0,32.0,,41.873416373565775,-87.6297767178152,"(41.87341637356577, -87.6297767178152)",2014-02-03
66546,02/03/2014,Completed,02/03/2014,14-00155759,Abandoned Vehicle Complaint,255 4767,Lincoln,Black,FVI - Outcome,Vehicle was moved from original address requested,95.0,3333 S SEELEY AVE,60608.0,,,11.0,9.0,59.0,,41.83301610936272,-87.67643408497936,"(41.833016109362724, -87.67643408497936)",2014-02-03
66547,02/03/2014,Completed,02/03/2014,14-00157661,Abandoned Vehicle Complaint,00000000000,Legacy Unknown,Black,FVI - Outcome,Vehicle was moved from original address requested,30.0,680 S FEDERAL ST,60605.0,,,2.0,1.0,32.0,,41.873416373565775,-87.6297767178152,"(41.87341637356577, -87.6297767178152)",2014-02-03
66548,02/01/2014,Completed - Dup,02/03/2014,14-00152194,Abandoned Vehicle Complaint,P346295,Honda,Black,FVI - Outcome,Create Work Order,30.0,2325 N MAJOR AVE,60639.0,1138000.10319463,1914884.38141656,37.0,25.0,19.0,,41.92289240306732,-87.76823656492803,"(41.922892403067316, -87.76823656492803)",2014-02-01
66549,02/01/2014,Completed,02/03/2014,14-00151777,Abandoned Vehicle Complaint,DONT KNOW,Chevrolet,Gray,FVI - Outcome,Vehicle was moved from original address requested,25.0,2733 N NARRAGANSETT AVE,60639.0,,,29.0,25.0,19.0,,41.930172975915006,-87.78553149509048,"(41.93017297591501, -87.78553149509048)",2014-02-01
66550,02/01/2014,Completed,02/03/2014,14-00151916,Abandoned Vehicle Complaint,143 1727,Chevrolet,Black,FVI - Outcome,Vehicle was moved from original address requested,45.0,1672 W FARWELL AVE,60626.0,,,49.0,24.0,1.0,24.0,42.00668035451457,-87.67273028455814,"(42.006680354514565, -87.67273028455814)",2014-02-01
66586,02/03/2014,Completed,02/04/2014,14-00155883,Abandoned Vehicle Complaint,L203337,Nissan,Gray,FVI - Outcome,Vehicle was moved from original address requested,10.0,4000 W HOLLYWOOD AVE,60646.0,,,39.0,17.0,13.0,,41.98441395821942,-87.72853652856008,"(41.98441395821942, -87.72853652856008)",2014-02-03
66587,02/03/2014,Completed,02/04/2014,14-00156492,Abandoned Vehicle Complaint,NO PLATES,Toyota,Gray,FVI - Outcome,Vehicle was moved from original address requested,10.0,4100 N ELSTON AVE,60618.0,,,39.0,17.0,16.0,,41.95525802826585,-87.72164948989472,"(41.95525802826585, -87.72164948989472)",2014-02-03
66588,02/03/2014,Completed,02/04/2014,14-00157271,Abandoned Vehicle Complaint,X991167,Saturn,Silver,FVI - Outcome,Vehicle was moved from original address requested,60.0,3515 S WINCHESTER AVE,60609.0,,,11.0,9.0,59.0,,41.82991854876862,-87.67390111769079,"(41.82991854876862, -87.67390111769079)",2014-02-03
66589,02/03/2014,Completed,02/04/2014,14-00158319,Abandoned Vehicle Complaint,NONE,Pontiac,Red,FVI - Outcome,Vehicle was moved from original address requested,8.0,5840 S ROCKWELL ST,60629.0,,,16.0,8.0,63.0,59.0,41.78708491288683,-87.68888156094042,"(41.787084912886826, -87.68888156094042)",2014-02-03
66590,02/03/2014,Completed,02/04/2014,14-00160172,Abandoned Vehicle Complaint,70130Y,Ford,Red,FVI - Outcome,Vehicle was moved from original address requested,90.0,4834 N KEELER AVE,60630.0,,,39.0,17.0,14.0,,41.9692027037786,-87.73314136883639,"(41.9692027037786, -87.73314136883639)",2014-02-03
66591,02/03/2014,Completed,02/04/2014,14-00160192,Abandoned Vehicle Complaint,35196Z,Chevrolet,White,FVI - Outcome,Vehicle was moved from original address requested,120.0,4822 N KEELER AVE,60630.0,,,39.0,17.0,14.0,,41.96887510652268,-87.73313221682318,"(41.96887510652268, -87.73313221682317)",2014-02-03
66592,02/03/2014,Completed,02/04/2014,14-00161065,Abandoned Vehicle Complaint,S22 0194,(Unlisted Make),Black,FVI - Outcome,Vehicle was moved from original address requested,20.0,3335 N RACINE AVE,60657.0,,,44.0,19.0,6.0,,41.94272141292192,-87.65890440886456,"(41.94272141292192, -87.65890440886456)",2014-02-03
66593,02/03/2014,Completed,02/04/2014,14-00161089,Abandoned Vehicle Complaint,9322583,Pontiac,Turquoise,FVI - Outcome,Vehicle was moved from original address requested,150.0,4742 S LOOMIS BLVD,60609.0,,,20.0,9.0,61.0,10.0,41.80738794333974,-87.66021965821025,"(41.80738794333974, -87.66021965821025)",2014-02-03
66594,02/03/2014,Completed,02/04/2014,14-00161268,Abandoned Vehicle Complaint,L202644,Ford,Silver,FVI - Outcome,Vehicle was moved from original address requested,400.0,1259 W 31ST ST,60608.0,,,11.0,9.0,60.0,,41.837770348669146,-87.65836061859068,"(41.83777034866914, -87.65836061859068)",2014-02-03
66595,02/03/2014,Completed,02/04/2014,14-00161328,Abandoned Vehicle Complaint,UNKNOWN/PLATE COVERED WITH SNOW,Chevrolet,Beige,FVI - Outcome,Return to Owner - Vehicle,18.0,9 E 90TH ST,60619.0,,,6.0,6.0,44.0,,41.73084359721719,-87.62360588801184,"(41.73084359721719, -87.62360588801185)",2014-02-03
66596,02/02/2014,Completed - Dup,02/04/2014,14-00154522,Abandoned Vehicle Complaint,1351924B,Ford,Gray,FVI - Outcome,Create Work Order,30.0,1508 W CULLOM AVE,60613.0,1165261.55059765,1928638.80072339,47.0,19.0,6.0,31.0,41.9598916585289,-87.66810862201004,"(41.9598916585289, -87.66810862201005)",2014-02-02
66597,02/02/2014,Completed,02/04/2014,14-00153821,Abandoned Vehicle Complaint,L20007,Oldsmobile,Black,FVI - Outcome,Vehicle was moved from original address requested,30.0,4546 S LOWE AVE,60609.0,,,11.0,9.0,61.0,,41.81118826618191,-87.64210445255394,"(41.81118826618191, -87.64210445255394)",2014-02-02
66598,02/02/2014,Completed,02/04/2014,14-00154211,Abandoned Vehicle Complaint,645 5666,Chevrolet,Blue,FVI - Outcome,Vehicle was moved from original address requested,14.0,1951 W BYRON ST,60613.0,,,47.0,19.0,5.0,38.0,41.95223033039355,-87.6783037017943,"(41.952230330393554, -87.6783037017943)",2014-02-02
