Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Location of Trees,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
07/01/2011,Completed - Dup,01/04/2012,11-03289808,Tree Trim,Parkway,3855 N OCTAVIA AVE,60634.0,1126723.23363196,1924754.02092543,38.0,16.0,17.0,41.94985962247609,-87.80958557817951,"(41.949859622476104, -87.80958557817952)",2011-07-01
07/01/2011,Completed - Dup,01/07/2013,11-03287667,Tree Trim,Parkway,8140 S JUSTINE ST,60620.0,1167420.40567744,1850746.9546276,21.0,6.0,71.0,41.745997514132064,-87.66211327849369,"(41.74599751413206, -87.66211327849369)",2011-07-01
07/01/2011,Completed - Dup,01/11/2012,11-03286507,Tree Trim,Parkway,3325 N OPAL AVE,60634.0,1123174.01588144,1921115.03870124,36.0,16.0,17.0,41.9399325734678,-87.82271208481859,"(41.9399325734678, -87.82271208481859)",2011-07-01
07/01/2011,Completed - Dup,01/12/2012,11-03290132,Tree Trim,Parkway,10518 S CALHOUN AVE,60617.0,1194866.51728857,1835765.80930638,10.0,4.0,51.0,41.704256376171436,-87.56203824036785,"(41.70425637617144, -87.56203824036785)",2011-07-01
07/01/2011,Completed - Dup,01/17/2012,11-03288405,Tree Trim,Parkway,6021 N NASSAU AVE,60631.0,1132452.2282307,1939601.4175294999,41.0,16.0,10.0,41.990504337862895,-87.7881787591842,"(41.99050433786289, -87.7881787591842)",2011-07-01
07/01/2011,Completed - Dup,01/18/2012,11-03288808,Tree Trim,Parkway,1110 N MASSASOIT AVE,60651.0,1137817.41159937,1906819.38262439,29.0,15.0,25.0,41.9004517073285,-87.76923765945395,"(41.9004517073285, -87.76923765945396)",2011-07-01
07/01/2011,Completed - Dup,01/19/2012,11-03290236,Tree Trim,,8342 S ST LAWRENCE AVE,60619.0,1181694.44426957,1849692.98009737,6.0,6.0,44.0,41.742787839905894,-87.60984302313138,"(41.742787839905894, -87.60984302313138)",2011-07-01
07/01/2011,Completed - Dup,01/20/2012,11-03288977,Tree Trim,,10333 S RHODES AVE,60628.0,1181740.03932459,1836438.89001457,9.0,5.0,49.0,41.706415958803355,-87.61008397649657,"(41.706415958803355, -87.61008397649657)",2011-07-01
07/01/2011,Completed - Dup,01/23/2012,11-03285691,Tree Trim,Parkway,4559 N KOSTNER AVE,60630.0,1146019.10772451,1929937.7147279999,45.0,17.0,16.0,41.96373862031773,-87.7385229710002,"(41.96373862031773, -87.73852297100021)",2011-07-01
07/01/2011,Completed - Dup,01/23/2012,11-03288749,Tree Trim,Parkway,6231 W HOLBROOK ST,60646.0,1133662.83343132,1940126.0023995,45.0,16.0,10.0,41.99192261085793,-87.7837134212395,"(41.99192261085793, -87.7837134212395)",2011-07-01
07/01/2011,Completed - Dup,01/30/2012,11-03290072,Tree Trim,Parkway,1016 N OAKLEY BLVD,60622.0,1160892.79567069,1906607.1539012,32.0,13.0,24.0,41.89942169878939,-87.68448617696289,"(41.89942169878939, -87.68448617696289)",2011-07-01
07/01/2011,Completed - Dup,01/31/2012,11-03289301,Tree Trim,Parkway,1039 W LILL AVE,60614.0,1168930.88182963,1917114.68009312,43.0,19.0,7.0,41.92808433281592,-87.6546571105338,"(41.928084332815914, -87.65465711053382)",2011-07-01
07/01/2011,Completed - Dup,02/01/2012,11-03285675,Tree Trim,Parkway,5141 S LAMON AVE,60638.0,1144563.48680321,1870067.26570124,23.0,8.0,56.0,41.79947453028983,-87.74538294403011,"(41.79947453028983, -87.74538294403011)",2011-07-01
07/01/2011,Completed - Dup,02/01/2012,11-03287420,Tree Trim,,8146 S RICHMOND ST,60652.0,1158128.55797292,1850459.4305071,18.0,8.0,70.0,41.74540235751643,-87.69616857207188,"(41.74540235751643, -87.69616857207187)",2011-07-01
07/01/2011,Completed - Dup,02/01/2012,11-03287430,Tree Trim,,3801 W 85TH PL,60652.0,1152548.59401332,1847605.461198,18.0,8.0,70.0,41.737682135653465,-87.71668970080981,"(41.73768213565347, -87.71668970080982)",2011-07-01
07/01/2011,Completed - Dup,02/01/2012,11-03290425,Tree Trim,Parkway,2821 W SEIPP ST,60652.0,1158956.29991537,1847670.25216645,18.0,8.0,70.0,41.737731544796944,-87.69321157864559,"(41.737731544796944, -87.69321157864559)",2011-07-01
07/01/2011,Completed - Dup,02/02/2012,11-03283819,Tree Trim,Parkway,3446 N OZANAM AVE,60634.0,1123478.42967396,1921920.23009041,36.0,16.0,17.0,41.94213713960978,-87.82157557442595,"(41.942137139609784, -87.82157557442594)",2011-07-01
07/01/2011,Completed - Dup,02/13/2012,11-03287969,Tree Trim,,8836 S CONSTANCE AVE,60617.0,1190055.41012316,1846751.12032773,8.0,4.0,48.0,41.73451811451264,-87.57930310991921,"(41.73451811451264, -87.57930310991921)",2011-07-01
07/01/2011,Completed - Dup,02/15/2012,11-03285551,Tree Trim,Parkway,1608 W CORNELIA AVE,60657.0,1164944.82849653,1923307.08412753,32.0,19.0,6.0,41.945162266185996,-87.66912803590542,"(41.945162266185996, -87.66912803590542)",2011-07-01
07/01/2011,Completed - Dup,02/20/2013,11-03283652,Tree Trim,Parkway,5456 W WALTON ST,60651.0,1139688.24340715,1905797.0667941002,37.0,15.0,25.0,41.897612387956464,-87.76239089273547,"(41.897612387956464, -87.76239089273545)",2011-07-01
07/01/2011,Completed - Dup,03/02/2012,11-03286966,Tree Trim,Parkway,1349 W 98TH ST,60643.0,1169071.14132743,1839794.2699706,21.0,22.0,73.0,41.715906261352465,-87.65638027430325,"(41.71590626135247, -87.65638027430325)",2011-07-01
