,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
88030,04/06/2015,Completed - Dup,04/10/2015,15-01166644,Abandoned Vehicle Complaint,K548391,Chrysler,Beige,,,30.0,4004 N CLARENDON AVE,60613.0,1170201.61309699,1926817.85549929,46.0,19.0,3.0,34.0,41.9547287529269,-87.649852492596,"(41.954728752926904, -87.649852492596)",2015-04-06
88195,04/06/2015,Completed - Dup,04/10/2015,15-01169624,Abandoned Vehicle Complaint,SP30863,Dodge,White,,,7.0,3050 W BIRCHWOOD AVE,60645.0,1155172.21901013,1949563.19651946,50.0,24.0,2.0,,42.017479639643774,-87.70629326984863,"(42.01747963964377, -87.70629326984864)",2015-04-06
88532,04/06/2015,Completed - Dup,04/10/2015,15-01171049,Abandoned Vehicle Complaint,473WYM,Pontiac,White,,,60.0,4201 N CLARENDON AVE,60613.0,1170159.62579674,1928215.16488626,46.0,19.0,3.0,,41.958531580126575,-87.6496706289343,"(41.95853158012657, -87.64967062893432)",2015-04-06
88573,04/15/2015,Completed - Dup,04/16/2015,15-01341142,Abandoned Vehicle Complaint,K492066,Nissan,Black,,,14.0,6744 N HERMITAGE AVE,60626.0,1163452.00571814,1944943.87991209,49.0,24.0,1.0,,42.004819488544605,-87.6741551080985,"(42.004819488544605, -87.67415510809852)",2015-04-15
89010,04/28/2015,Completed - Dup,04/29/2015,15-01656697,Abandoned Vehicle Complaint,S152052,Geo/Metro,Gold,,,21.0,3242 W 84TH PL,60652.0,1156237.95821174,1848381.81920675,18.0,8.0,70.0,,41.73983765233996,-87.70383029569392,"(41.73983765233996, -87.7038302956939)",2015-04-28
95791,04/01/2015,Completed,04/01/2015,15-01064375,Abandoned Vehicle Complaint,UNKNOWN,Acura,Gray,FVI - Outcome,Vehicle was moved from original address requested,14.0,1110 W POLK ST,60607.0,,,25.0,12.0,28.0,,41.871925064626545,-87.6547037642697,"(41.871925064626545, -87.65470376426971)",2015-04-01
95792,04/01/2015,Completed,04/01/2015,15-01065098,Abandoned Vehicle Complaint,R495175,Hyundai,Gray,FVI - Outcome,Vehicle was moved from original address requested,30.0,3300 W ADAMS ST,60624.0,,,28.0,11.0,27.0,,41.87846558991143,-87.70855616184483,"(41.87846558991143, -87.70855616184483)",2015-04-01
95793,04/01/2015,Completed,04/01/2015,15-01065140,Abandoned Vehicle Complaint,,,,FVI - Outcome,Vehicle was moved from original address requested,,109 W 109TH PL,60628.0,,,34.0,5.0,49.0,,41.69517462085526,-87.62598993204911,"(41.695174620855255, -87.6259899320491)",2015-04-01
95859,04/02/2015,Completed - Dup,04/02/2015,15-01086867,Abandoned Vehicle Complaint,V961809,Pontiac,White,FVI - Outcome,Create Work Order,30.0,2020 W AUGUSTA BLVD,60622.0,1162753.73568166,1906665.51907919,32.0,12.0,24.0,,41.89964643201907,-87.67804012872587,"(41.89964643201907, -87.67804012872588)",2015-04-02
95860,04/02/2015,Completed - Dup,04/02/2015,15-01089290,Abandoned Vehicle Complaint,V137662,Chevrolet,Green,FVI - Outcome,Create Work Order,90.0,9622 S LA SALLE ST,60628.0,1176972.97539297,1841150.26938919,21.0,5.0,49.0,,41.71914389250657,-87.62753771942933,"(41.71914389250657, -87.62753771942931)",2015-04-02
95861,04/02/2015,Completed - Dup,04/02/2015,15-01089402,Abandoned Vehicle Complaint,V739913,Ford,Unknown,FVI - Outcome,Create Work Order,15.0,5356 N LINDER AVE,60630.0,1138521.58360819,1935285.76923037,45.0,16.0,11.0,,41.97899315665981,-87.76612183120564,"(41.978993156659804, -87.76612183120564)",2015-04-02
