SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date,Community
Vacant/Abandoned Building,12-00027190,01/06/2012,,,,,,,,6702,S,GREEN,ST,60621.0,1171792.0201108,1860409.53508888,17.0,7.0,68.0,41.77241815712566,-87.64581181922813,"(41.77241815712566, -87.64581181922813)",2012-01-06,68
Vacant/Abandoned Building,12-00027245,01/06/2012,,,,,,,,6601,S,WOLCOTT,AVE,60636.0,1164821.29276576,1860896.22540628,15.0,7.0,67.0,41.77390377508821,-87.67135081744621,"(41.77390377508821, -87.67135081744622)",2012-01-06,67
Vacant/Abandoned Building,12-00027261,01/06/2012,,,,,,,,6637,S,CLAREMONT,AVE,60636.0,1161884.40272548,1860584.59468553,15.0,8.0,66.0,41.77311014750261,-87.68212556325756,"(41.77311014750261, -87.68212556325757)",2012-01-06,66
Vacant/Abandoned Building,12-00027288,01/06/2012,,,,,,,,7644,S,EMERALD,AVE,60620.0,1172625.84798228,1854174.45339704,17.0,6.0,71.0,41.7552900008059,-87.64293869996295,"(41.7552900008059, -87.64293869996295)",2012-01-06,71
Vacant/Abandoned Building,12-00119337,01/27/2012,,,,,,,,5949,S,MARSHFIELD,AVE,60636.0,1166359.85979085,1865255.17368622,15.0,7.0,67.0,41.78583264647597,-87.66558664637323,"(41.785832646475974, -87.66558664637323)",2012-01-27,67
Vacant/Abandoned Building,12-00119339,01/27/2012,,,,,,,,6043,S,WINCHESTER,AVE,60636.0,1164393.00443065,1864582.76878045,15.0,7.0,67.0,41.7840291711716,-87.67281703751678,"(41.7840291711716, -87.67281703751678)",2012-01-27,67
Vacant/Abandoned Building,12-00002010,01/01/2012,Rear,,Boarded,,Vacant,False,False,2925,N,NEW ENGLAND,AVE,60634.0,1129915.81992281,1918677.6645915,36.0,25.0,18.0,41.93313125807079,-87.79798925236379,"(41.93313125807079, -87.7979892523638)",2012-01-01,18
Vacant/Abandoned Building,12-00002455,01/01/2012,Rear,,Open,SIDE WINDOWS OPEN AND BACK DOOR,Vacant,False,True,7308,S,WOODLAWN,AVE,60619.0,1185478.49471897,1856795.05567348,5.0,3.0,69.0,41.762188500963184,-87.59575524362049,"(41.762188500963184, -87.59575524362049)",2012-01-01,69
Vacant/Abandoned Building,12-00002510,01/01/2012,Front,,Open,OPEN ALL THE WAY AROUND,Vacant,False,False,6518,W,64TH,ST,60638.0,1134066.33143385,1861374.34028573,23.0,8.0,64.0,41.77581012564156,-87.78408319484457,"(41.775810125641556, -87.78408319484457)",2012-01-01,64
Vacant/Abandoned Building,12-00002702,01/01/2012,Front,,Open,,Vacant,False,True,2341,N,MEADE,AVE,60639.0,1135348.88303377,1914919.40011785,29.0,25.0,19.0,41.922723323544844,-87.77811224102709,"(41.92272332354484, -87.77811224102709)",2012-01-01,19
Vacant/Abandoned Building,12-00002707,01/01/2012,Front,,Open,REAR DOOR IS OPEN,Vacant,False,True,3218,N,LAMON,AVE,60641.0,1143133.06817108,1921034.17179279,30.0,16.0,15.0,41.93936099502192,-87.74935719588987,"(41.93936099502192, -87.74935719588987)",2012-01-01,15
Vacant/Abandoned Building,12-00003174,01/02/2012,Front,,Open,SIDES BOARDS HAVE FALLEN OFF,Vacant,False,False,2246,N,TRIPP,AVE,60639.0,1147681.41342891,1914593.58007422,31.0,25.0,20.0,41.921601187260244,-87.7328063817164,"(41.921601187260244, -87.7328063817164)",2012-01-02,20
Vacant/Abandoned Building,12-00003568,01/02/2012,Front,,Open,,Vacant,False,True,8650,S,COLFAX,AVE,60617.0,1194988.06340754,1848455.42186563,7.0,4.0,46.0,41.73907485478943,-87.56117638988478,"(41.73907485478943, -87.56117638988478)",2012-01-02,46
Vacant/Abandoned Building,12-00003623,01/02/2012,Front,,Open,PROBLEM OPEN . AND TREE HAS NOW FALLEN ON CALLERS PROPERTY,Vacant,False,True,2124,W,119TH,ST,60643.0,1164401.87997245,1825693.32009087,19.0,22.0,75.0,41.6773103082936,-87.67387690652656,"(41.6773103082936, -87.67387690652657)",2012-01-02,0
Vacant/Abandoned Building,12-00004021,01/02/2012,Front,,Boarded,,Vacant,False,False,651,E,92ND,PL,60619.0,1182198.88518164,1843783.68311839,9.0,6.0,44.0,41.726560395023725,-87.6081771835284,"(41.726560395023725, -87.6081771835284)",2012-01-02,44
