,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
75958,06/01/2014,Completed,06/02/2014,14-00818908,Abandoned Vehicle Complaint,4204704,Chevrolet,White,FVI - Outcome,Vehicle was moved from original address requested,21.0,10933 S GREEN ST,60643.0,,,34.0,22.0,75.0,45.0,41.69499090154128,-87.64353446338917,"(41.69499090154128, -87.64353446338917)",2014-06-01
76023,06/01/2014,Completed,06/03/2014,14-00818638,Abandoned Vehicle Complaint,67667-Z,General Motors Corp.,Blue,FVI - Outcome,Vehicle was moved from original address requested,18.0,8641 S WOOD ST,60620.0,,,18.0,6.0,71.0,,41.73632699008586,-87.66778890813161,"(41.73632699008586, -87.66778890813161)",2014-06-01
76024,06/02/2014,Completed - Dup,06/03/2014,14-00821235,Abandoned Vehicle Complaint,929AUF,Buick,White,FVI - Outcome,Create Work Order,30.0,7043 S WENTWORTH AVE,60621.0,1176177.8271253,1858275.22563289,6.0,7.0,69.0,,41.7659795780639,-87.62963892253633,"(41.7659795780639, -87.62963892253634)",2014-06-02
76025,06/02/2014,Completed,06/03/2014,14-00822378,Abandoned Vehicle Complaint,H769219,Honda,Black,FVI - Outcome,Vehicle was moved from original address requested,9.0,6154 N ST LOUIS AVE,60659.0,,,50.0,17.0,13.0,,41.99357646872519,-87.71666817640434,"(41.99357646872519, -87.71666817640435)",2014-06-02
76026,06/02/2014,Completed,06/03/2014,14-00828160,Abandoned Vehicle Complaint,9545768,Toyota,Gray,FVI - Outcome,Vehicle was moved from original address requested,21.0,5200 N BERNARD ST,60625.0,,,39.0,17.0,13.0,,41.97577142853804,-87.71492119675855,"(41.97577142853804, -87.71492119675857)",2014-06-02
76106,06/10/2014,Completed - Dup,06/13/2014,14-00875269,Abandoned Vehicle Complaint,,,,,,,351 E WACKER DR,60601.0,1178937.57131354,1902510.95799593,42.0,1.0,32.0,,41.88748199055287,-87.61840604284987,"(41.88748199055287, -87.61840604284986)",2014-06-10
76128,06/03/2014,Completed,06/13/2014,14-00832659,Abandoned Vehicle Complaint,L623739,Honda,Red,FVI - Outcome,Need Vehicle Tow Report,26.0,8650 S WOOD ST,60620.0,,,18.0,6.0,71.0,,41.73604119048006,-87.66807473581804,"(41.73604119048006, -87.66807473581804)",2014-06-03
76421,06/04/2014,Completed - Dup,06/04/2014,14-00837771,Abandoned Vehicle Complaint,UNK,Chevrolet,White,FVI - Outcome,Create Work Order,7.0,1250 W 101ST PL,60643.0,1169732.76408338,1837293.4601307,21.0,22.0,73.0,,41.70913374831253,-87.65456903643211,"(41.709133748312524, -87.65456903643211)",2014-06-04
76422,06/03/2014,Completed,06/04/2014,14-00830029,Abandoned Vehicle Complaint,NONE,Ford,Gray,FVI - Outcome,Vehicle was moved from original address requested,60.0,9110 S NORMAL AVE,60620.0,,,21.0,22.0,73.0,,41.72849188538459,-87.63626297035677,"(41.72849188538459, -87.63626297035677)",2014-06-03
76423,06/03/2014,Completed,06/04/2014,14-00831759,Abandoned Vehicle Complaint,R407421,Ford,White,FVI - Outcome,Return to Owner - Vehicle,30.0,4123 W NELSON ST,60641.0,,,31.0,25.0,21.0,,41.93620036715486,-87.73054271587189,"(41.93620036715486, -87.73054271587189)",2014-06-03
76424,06/03/2014,Completed,06/04/2014,14-00832187,Abandoned Vehicle Complaint,9675792,Dodge,Silver,FVI - Outcome,Vehicle was moved from original address requested,8.0,11842 S MAPLEWOOD AVE,60655.0,,,19.0,22.0,75.0,,41.67778284305052,-87.68453812375753,"(41.677782843050515, -87.68453812375753)",2014-06-03
