,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
33808,10/01/2012,Completed - Dup,10/01/2012,12-01691059,Sanitation Code Violation,Overflowing carts,3525 S PAULINA ST,60609.0,1165592.87202854,1881349.24776578,11.0,9.0,59.0,41.83001294981915,-87.6679419407106,"(41.83001294981915, -87.6679419407106)",2012-10-01
33809,10/01/2012,Completed,10/01/2012,12-01691065,Sanitation Code Violation,Overflowing carts,3606 W HURON ST,60624.0,1152193.2540212,1904429.98338651,27.0,11.0,23.0,41.89362343182679,-87.71649713234311,"(41.89362343182679, -87.7164971323431)",2012-10-01
33810,10/01/2012,Completed,10/01/2012,12-01691228,Sanitation Code Violation,Garbage in alley,1608 W SHERWIN AVE,60626.0,1164388.35073213,1948726.38017796,49.0,24.0,1.0,42.01492549496993,-87.67045037639143,"(42.01492549496993, -87.67045037639143)",2012-10-01
33811,10/01/2012,Completed,10/01/2012,12-01692196,Sanitation Code Violation,Dumpster not being emptied,6705 N CALIFORNIA AVE,60645.0,1156447.55400065,1944361.36992894,50.0,24.0,2.0,42.00311277312619,-87.69978845154371,"(42.00311277312619, -87.69978845154372)",2012-10-01
33812,10/01/2012,Completed,10/01/2012,12-01693557,Sanitation Code Violation,Overflowing carts,2632 N MARMORA AVE,60639.0,1136610.21209494,1916889.04887272,30.0,25.0,19.0,41.92810575813599,-87.77343037505847,"(41.92810575813599, -87.77343037505847)",2012-10-01
33813,10/01/2012,Completed,10/02/2012,12-01691118,Sanitation Code Violation,Garbage in alley,1246 N WELLS ST,60610.0,1174478.29146572,1908776.96002657,43.0,18.0,8.0,41.905082965787756,-87.63452224999659,"(41.90508296578776, -87.63452224999659)",2012-10-01
33814,10/01/2012,Completed,10/02/2012,12-01691152,Sanitation Code Violation,Dumpster not being emptied,1155 W WRIGHTWOOD AVE,60614.0,1168153.88359415,1917421.18639225,32.0,19.0,7.0,41.928942242634136,-87.65750339978315,"(41.92894224263413, -87.65750339978315)",2012-10-01
33815,10/01/2012,Completed,10/02/2012,12-01691153,Sanitation Code Violation,Dumpster not being emptied,1157 W WRIGHTWOOD AVE,60614.0,1168140.58359415,1917420.78639225,32.0,19.0,7.0,41.928941432670825,-87.65755228436709,"(41.92894143267082, -87.6575522843671)",2012-10-01
33816,10/01/2012,Completed,10/02/2012,12-01691721,Sanitation Code Violation,Garbage in alley,820 W BUCKINGHAM PL,60657.0,1170145.37652206,1922437.72458852,44.0,19.0,6.0,41.94266453484358,-87.65003842004582,"(41.94266453484358, -87.65003842004582)",2012-10-01
33817,10/01/2012,Completed,10/02/2012,12-01691766,Sanitation Code Violation,Overflowing carts,1356 N LA SALLE DR,60610.0,1174882.00829362,1909426.76469386,43.0,18.0,8.0,41.90685702661729,-87.63301980020864,"(41.90685702661729, -87.63301980020864)",2012-10-01
