,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
89421,06/01/2015,Completed - Dup,06/02/2015,15-02397917,Abandoned Vehicle Complaint,831010,Dodge,White,,,35.0,7109 W DEVON AVE,60631.0,1127844.32902395,1942222.40527559,41.0,16.0,10.0,,41.99768334889936,-87.80528367958624,"(41.99768334889936, -87.80528367958624)",2015-06-01
100841,06/01/2015,Completed,06/01/2015,15-02390576,Abandoned Vehicle Complaint,301781ST,(Homemade Trailer),Silver,FVI - Outcome,Vehicle was moved from original address requested,7.0,3133 N ALBANY AVE,60618.0,1155271.24081789,1920804.43712719,33.0,14.0,21.0,,41.93853798993006,-87.70462990649263,"(41.93853798993006, -87.70462990649264)",2015-06-01
100934,06/02/2015,Completed - Dup,06/02/2015,15-02408020,Abandoned Vehicle Complaint,X913764,Honda,Silver,FVI - Outcome,Create Work Order,11.0,6049 N MASON AVE,60646.0,1135583.74987953,1939835.54338202,39.0,16.0,11.0,,41.99163166807889,-87.77650267152633,"(41.99163166807889, -87.77650267152633)",2015-06-02
100935,06/02/2015,Completed - Dup,06/02/2015,15-02408254,Abandoned Vehicle Complaint,NPL180,Mercury,White,FVI - Outcome,Create Work Order,21.0,545 W 42ND PL,60609.0,1173365.86930176,1876739.53569425,11.0,9.0,61.0,,41.817074878876646,-87.6402359619231,"(41.817074878876646, -87.64023596192311)",2015-06-02
100936,06/02/2015,Completed - Dup,06/02/2015,15-02411377,Abandoned Vehicle Complaint,V159819,Saturn,Gray,FVI - Outcome,Create Work Order,7.0,2053 N KILBOURN AVE,60639.0,1146056.03097988,1913268.75790263,36.0,25.0,20.0,,41.918587741623824,-87.73868431751842,"(41.91858774162382, -87.73868431751842)",2015-06-02
100937,06/02/2015,Completed - Dup,06/02/2015,15-02412655,Abandoned Vehicle Complaint,NO PLATE,Nissan,White,FVI - Outcome,Create Work Order,2.0,316 W CHICAGO AVE,60654.0,1174019.48143094,1905670.15167242,27.0,18.0,8.0,,41.89667409709342,-87.63639568873215,"(41.896674097093424, -87.63639568873215)",2015-06-02
100938,06/02/2015,Completed - Dup,06/02/2015,15-02412673,Abandoned Vehicle Complaint,V333621,Chevrolet,Gray,FVI - Outcome,Create Work Order,21.0,10634 S WOOD ST,60643.0,1166240.72033443,1834025.09002208,19.0,22.0,72.0,,41.69996432764993,-87.66705111704219,"(41.69996432764993, -87.6670511170422)",2015-06-02
100939,06/02/2015,Completed - Dup,06/02/2015,15-02412979,Abandoned Vehicle Complaint,,,,,,,4609 N LAWRENCE WILSON DR,60640.0,1172003.952323,1931271.64869438,46.0,19.0,3.0,,41.966954104392116,-87.64242425578738,"(41.966954104392116, -87.64242425578738)",2015-06-02
100940,06/02/2015,Completed - Dup,06/02/2015,15-02422865,Abandoned Vehicle Complaint,DR 947,(Unlisted Make),Black,FVI - Outcome,Create Work Order,3.0,4030 W CARROLL AVE,60624.0,1149463.7560222,1901931.41992998,28.0,11.0,26.0,,41.88692220341025,-87.7271099878673,"(41.88692220341025, -87.7271099878673)",2015-06-02
100941,06/01/2015,Completed - Dup,06/02/2015,15-02397301,Abandoned Vehicle Complaint,CJE 2085 MICHIGAN,Saab,Silver,FVI - Outcome,Create Work Order,15.0,1746 N MAPLEWOOD AVE,60647.0,1159095.12819076,1911514.15387023,1.0,14.0,22.0,,41.91345086493196,-87.6911141835771,"(41.91345086493196, -87.6911141835771)",2015-06-01
100942,06/01/2015,Completed - Dup,06/02/2015,15-02399326,Abandoned Vehicle Complaint,N80 6539,Pontiac,Gray,FVI - Outcome,Create Work Order,14.0,4510 W HUTCHINSON ST,60641.0,1145341.65701698,1927688.0383971,45.0,17.0,16.0,,41.957674705492884,-87.74117145204714,"(41.95767470549288, -87.74117145204714)",2015-06-01
100943,06/01/2015,Completed - Dup,06/02/2015,15-02400442,Abandoned Vehicle Complaint,X913764,Honda,Silver,,,14.0,6051 N MASON AVE,60646.0,1135583.80547165,1939848.86369667,39.0,16.0,11.0,,41.99168773701146,-87.7765018060573,"(41.99168773701146, -87.7765018060573)",2015-06-01
100944,06/01/2015,Completed - Dup,06/02/2015,15-02407569,Abandoned Vehicle Complaint,L387282,Mercury,Black,,,14.0,2439 W AINSLIE ST,60625.0,1159118.80998238,1932606.53003276,40.0,20.0,4.0,21.0,41.970689917521455,-87.69058992411064,"(41.970689917521455, -87.69058992411064)",2015-06-01
100945,06/01/2015,Completed,06/02/2015,15-02388294,Abandoned Vehicle Complaint,ESK108,Honda,Black,FVI - Outcome,Vehicle was moved from original address requested,21.0,10636 S WOOD ST,60643.0,,,19.0,22.0,72.0,,41.69990842819808,-87.6670491713548,"(41.69990842819808, -87.66704917135482)",2015-06-01
100946,06/01/2015,Completed,06/02/2015,15-02391909,Abandoned Vehicle Complaint,S676905,Pontiac,Red,FVI - Outcome,Vehicle was moved from original address requested,120.0,619 N MONTICELLO AVE,60624.0,,,27.0,11.0,23.0,,41.892401084272976,-87.71729597888374,"(41.892401084272976, -87.71729597888373)",2015-06-01
100947,06/01/2015,Completed,06/02/2015,15-02401605,Abandoned Vehicle Complaint,E573535,Volkswagen,Blue,FVI - Outcome,Return to Owner - Vehicle,15.0,2917 S QUINN ST,60608.0,,,11.0,9.0,60.0,,41.840529994418,-87.65008382069423,"(41.840529994418, -87.65008382069423)",2015-06-01
100950,06/01/2015,Completed - Dup,06/02/2015,15-02388242,Abandoned Vehicle Complaint,V333621,Chevrolet,Blue,FVI - Outcome,Create Work Order,21.0,10634 S WOOD ST,60643.0,1166240.72033443,1834025.09002208,19.0,22.0,72.0,,41.69996432764993,-87.66705111704219,"(41.69996432764993, -87.6670511170422)",2015-06-01
100951,06/01/2015,Completed - Dup,06/02/2015,15-02391179,Abandoned Vehicle Complaint,1184570,Infiniti/Q45,Black,FVI - Outcome,Create Work Order,90.0,1750 W AUGUSTA BLVD,60622.0,1164465.41723112,1906716.2289182,1.0,12.0,24.0,,41.89974993353447,-87.67180114714151,"(41.89974993353448, -87.67180114714151)",2015-06-01
100952,06/01/2015,Completed - Dup,06/02/2015,15-02391955,Abandoned Vehicle Complaint,DON'T HAVE,Ford,White,FVI - Outcome,Create Work Order,60.0,8756 S MANISTEE AVE,60617.0,1196152.35999401,1847447.51840183,7.0,4.0,46.0,,41.735633774454996,-87.55707254513139,"(41.735633774455, -87.55707254513139)",2015-06-01
100953,06/01/2015,Completed - Dup,06/02/2015,15-02394832,Abandoned Vehicle Complaint,1501044,(Unlisted Make),White,FVI - Outcome,Create Work Order,21.0,2443 N MANGO AVE,60639.0,1137642.87472974,1915660.42547298,30.0,25.0,19.0,,41.92520552118597,-87.76953613481214,"(41.92520552118597, -87.76953613481214)",2015-06-01
100954,06/01/2015,Completed - Dup,06/02/2015,15-02394847,Abandoned Vehicle Complaint,73627FF,Ford,Black,FVI - Outcome,Create Work Order,17.0,5820 W SCHOOL ST,60634.0,1136993.57568793,1921347.78221573,30.0,16.0,15.0,,41.94043895426051,-87.77230100849006,"(41.940438954260514, -87.77230100849007)",2015-06-01
101010,06/03/2015,Completed - Dup,06/03/2015,15-02439714,Abandoned Vehicle Complaint,R474052,Chevrolet,Maroon,FVI - Outcome,Create Work Order,30.0,853 N RIDGEWAY AVE,60651.0,1151230.72227755,1905435.58551951,27.0,11.0,23.0,63.0,41.896990481958774,-87.71987841072452,"(41.896990481958774, -87.71987841072453)",2015-06-03
101011,06/03/2015,Completed - Dup,06/03/2015,15-02440762,Abandoned Vehicle Complaint,V333621,Chevrolet,Blue,FVI - Outcome,Create Work Order,120.0,10636 S WOOD ST,60643.0,1166241.02033443,1834015.79002208,19.0,22.0,72.0,,41.69990842819808,-87.6670491713548,"(41.69990842819808, -87.66704917135482)",2015-06-03
101012,06/03/2015,Completed - Dup,06/03/2015,15-02443077,Abandoned Vehicle Complaint,UNKNOWN,General Motors Corp.,Beige,FVI - Outcome,Create Work Order,28.0,3855 W 57TH ST,60629.0,1151641.09879664,1866529.93977719,23.0,8.0,62.0,,41.789510515528,-87.72033084719263,"(41.789510515527994, -87.72033084719263)",2015-06-03
101013,06/03/2015,Completed,06/03/2015,15-02435278,Abandoned Vehicle Complaint,AWW3435,Chevrolet,Blue,FVI - Outcome,Vehicle was moved from original address requested,38.0,4349 N HARDING AVE,60618.0,1149277.74826818,1928613.59011208,39.0,17.0,16.0,,41.960591281916706,-87.7264464190151,"(41.9605912819167, -87.72644641901509)",2015-06-03
