,CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,SSA,LATITUDE,LONGITUDE,LOCATION,date
359174,06/01/2015,Completed - Dup,06/01/2015,15-02389001,Pothole in Street,,,,11600 S STATE ST,60628.0,1178338.66772121,1827711.39941193,34.0,5.0,53.0,,41.68249679626037,-87.62294854300718,"(41.682496796260374, -87.62294854300718)",2015-06-01
359175,06/01/2015,Completed,06/01/2015,15-02383463,Pothole in Street,Final Outcome,Pothole Patched,5.0,10300 S STATE ST,60628.0,1178068.21777702,1836681.19332887,34.0,5.0,49.0,41.0,41.70711657923907,-87.62366762030047,"(41.70711657923907, -87.62366762030047)",2015-06-01
359176,06/01/2015,Completed,06/01/2015,15-02383464,Pothole in Street,Final Outcome,Pothole Patched,9.0,10400 S STATE ST,60628.0,1178088.0816288,1836016.63839018,34.0,5.0,49.0,,41.70529263171794,-87.62361505769279,"(41.70529263171794, -87.6236150576928)",2015-06-01
359177,06/01/2015,Completed,06/01/2015,15-02383465,Pothole in Street,Final Outcome,Pothole Patched,7.0,10500 S STATE ST,60628.0,1178108.51090537,1835332.41000346,34.0,5.0,49.0,,41.70336743483914,-87.62355982875586,"(41.703367434839144, -87.62355982875586)",2015-06-01
359178,06/01/2015,Completed,06/01/2015,15-02383467,Pothole in Street,Final Outcome,Pothole Patched,8.0,10600 S STATE ST,60628.0,1178128.71747015,1834654.92861951,34.0,5.0,49.0,,41.70155963021935,-87.62350750284864,"(41.70155963021935, -87.62350750284864)",2015-06-01
359179,06/01/2015,Completed,06/01/2015,15-02383469,Pothole in Street,Final Outcome,Pothole Patched,9.0,10700 S STATE ST,60628.0,1178147.2298961,1834023.7949831001,34.0,5.0,49.0,,41.69977693917552,-87.62345682488541,"(41.69977693917552, -87.6234568248854)",2015-06-01
359180,06/01/2015,Completed,06/01/2015,15-02383470,Pothole in Street,Final Outcome,Pothole Patched,17.0,10800 S STATE ST,60628.0,1178166.9598315,1833361.42211009,34.0,5.0,49.0,,41.698004458712376,-87.62340629026163,"(41.698004458712376, -87.62340629026163)",2015-06-01
359181,06/01/2015,Completed,06/01/2015,15-02383471,Pothole in Street,Final Outcome,Pothole Patched,22.0,10900 S STATE ST,60628.0,1178186.76678259,1832696.82811245,34.0,5.0,49.0,,41.69618024013606,-87.62335379183651,"(41.69618024013606, -87.62335379183652)",2015-06-01
359182,06/01/2015,Completed,06/01/2015,15-02383472,Pothole in Street,Final Outcome,Pothole Patched,13.0,11000 S STATE ST,60628.0,1178206.44519049,1832031.0679951,34.0,5.0,49.0,,41.694376094550854,-87.62330273621622,"(41.694376094550854, -87.62330273621622)",2015-06-01
359183,06/01/2015,Completed,06/01/2015,15-02383474,Pothole in Street,Final Outcome,Pothole Patched,15.0,11100 S STATE ST,60628.0,1178226.30366909,1831369.35519766,34.0,5.0,49.0,40.0,41.692537041934436,-87.62324926529827,"(41.692537041934436, -87.62324926529826)",2015-06-01
