SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,10-01406352,09/01/2010,Front,,Open,,Vacant,True,False,1131,N,MONTICELLO,AVE,60651.0,1151834.93388383,1907294.5223273998,27.0,11.0,23.0,41.90149107090213,-87.71773764006693,"(41.901491070902125, -87.71773764006694)",2010-09-01
Vacant/Abandoned Building,10-01407764,09/01/2010,Front,,Open,GARAGE AND REAR,Vacant,False,True,3500,W,FLOURNOY,ST,60624.0,1153150.90679631,1896809.69467102,24.0,11.0,27.0,41.87269362665185,-87.71318222452071,"(41.872693626651845, -87.71318222452071)",2010-09-01
Vacant/Abandoned Building,10-01408028,09/01/2010,,,,,,,,1253,S,KOMENSKY,AVE,60623.0,1149582.51371152,1893974.1924911,24.0,10.0,29.0,41.864982676134794,-87.72635713734405,"(41.864982676134794, -87.72635713734407)",2010-09-01
Vacant/Abandoned Building,10-01409029,09/01/2010,Front,,Open,"FRONT/REAR DOORS, WINDOWS - [6 UNIT APT BUILDING- INTERIOR UNITS HAVE NO DOORS, MAJOR ROACH/RAT INFESTATION- ROACHES CAN ACTUALLY BEEN SEEN GOING TO GARBAGE CARTS]",Vacant,False,False,5512,S,ELIZABETH,ST,60636.0,1168931.57999675,1868107.66001603,16.0,7.0,67.0,41.79360500885544,-87.6560751004874,"(41.793605008855444, -87.6560751004874)",2010-09-01
Vacant/Abandoned Building,10-01409383,09/01/2010,,,,,,,,10522,S,MARYLAND,AVE,60628.0,1183768.16487305,1835365.38011116,9.0,5.0,50.0,41.703423129370755,-87.6026904931266,"(41.70342312937076, -87.6026904931266)",2010-09-01
Vacant/Abandoned Building,10-01409895,09/01/2010,Front,,Open,,Vacant,False,True,6029,S,NATCHEZ,AVE,60638.0,1134108.22581715,1863721.62990788,23.0,8.0,64.0,41.78225079495461,-87.78387462736711,"(41.782250794954614, -87.78387462736711)",2010-09-01
Vacant/Abandoned Building,10-01411207,09/01/2010,Front,,Open,BACK AND THE WINDOWS,Vacant,False,True,7015,S,CAMPBELL,AVE,60629.0,1160920.23566721,1858060.03348026,15.0,8.0,66.0,41.76620236991595,-87.68572966376557,"(41.76620236991595, -87.68572966376556)",2010-09-01
Vacant/Abandoned Building,10-01411319,09/01/2010,Front,,Open,,Vacant,False,False,7818,S,BISHOP,ST,60620.0,1167914.93108463,1852898.59027587,17.0,6.0,71.0,41.75189130135895,-87.66023955658257,"(41.75189130135895, -87.66023955658257)",2010-09-01
Vacant/Abandoned Building,10-01412363,09/01/2010,Front,,Open,,Vacant,False,False,5802,W,OHIO,ST,60644.0,1137619.11102453,1903391.69313047,29.0,15.0,25.0,41.89104927317288,-87.77004869663217,"(41.891049273172875, -87.77004869663217)",2010-09-01
Vacant/Abandoned Building,10-01412971,09/01/2010,Front,,Open,2 FLOOR,Vacant,False,False,4106,W,HIRSCH,ST,60651.0,1148728.57033383,1909003.71538367,37.0,25.0,23.0,41.906241870984815,-87.72910351679312,"(41.90624187098481, -87.72910351679312)",2010-09-01
