,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,date
107023,09/01/2015,Completed,09/01/2015,15-04497171,Abandoned Vehicle Complaint,E671293,Chevrolet,Black,FVI - Outcome,Return to Owner - Vehicle,14.0,5413 S PRINCETON AVE,60609.0,,,3.0,9.0,37.0,,41.7958353436477,-87.63288785584676,"(41.7958353436477, -87.63288785584677)",2015-09-01
107024,09/01/2015,Completed,09/01/2015,15-04499490,Abandoned Vehicle Complaint,UNKNOWN,Jeep/Cherokee,Gray,FVI - Outcome,Vehicle was moved from original address requested,1.0,7339 N ROGERS AVE,60626.0,,,49.0,24.0,1.0,,42.014496999129754,-87.67822416417681,"(42.01449699912976, -87.67822416417681)",2015-09-01
107025,09/01/2015,Completed,09/01/2015,15-04501261,Abandoned Vehicle Complaint,,(Unlisted Make),Black,FVI - Outcome,Return to Owner - Vehicle,365.0,1564 W LAKE ST,60607.0,,,27.0,12.0,28.0,,41.885442365746854,-87.66680842588522,"(41.88544236574685, -87.66680842588522)",2015-09-01
107108,09/02/2015,Completed - Dup,09/02/2015,15-04520641,Abandoned Vehicle Complaint,9856420,Honda,Blue,FVI - Outcome,Create Work Order,14.0,4166 S BERKELEY AVE,60653.0,1183867.85271433,1877350.33291159,4.0,2.0,36.0,,41.81816098393261,-87.6008847868268,"(41.81816098393261, -87.6008847868268)",2015-09-02
107109,09/02/2015,Completed - Dup,09/02/2015,15-04522485,Abandoned Vehicle Complaint,6401667,Buick,Cream,FVI - Outcome,Create Work Order,90.0,7001 S STONY ISLAND AVE,60649.0,1188021.12452284,1858879.57089394,5.0,3.0,43.0,42.0,41.76779762303839,-87.5858199182323,"(41.76779762303839, -87.58581991823232)",2015-09-02
107110,09/02/2015,Completed - Dup,09/02/2015,15-04525443,Abandoned Vehicle Complaint,UNKNOWN,Buick,Blue,FVI - Outcome,Create Work Order,14.0,850 N WESTERN AVE,60622.0,1160250.19530859,1905690.32419427,26.0,12.0,24.0,,41.89728189785419,-87.68702748042514,"(41.897281897854185, -87.68702748042514)",2015-09-02
107111,09/02/2015,Completed - Dup,09/02/2015,15-04525450,Abandoned Vehicle Complaint,DL 6698,Volvo,White,FVI - Outcome,Create Work Order,91.0,6033 S MICHIGAN AVE,60637.0,1178191.14740714,1865038.73617086,20.0,3.0,40.0,,41.784593975482224,-87.62205778225314,"(41.78459397548223, -87.62205778225312)",2015-09-02
107112,09/02/2015,Completed - Dup,09/02/2015,15-04527214,Abandoned Vehicle Complaint,S386811,Honda,Black,FVI - Outcome,Create Work Order,14.0,7450 N GREENVIEW AVE,60626.0,1164997.85657774,1949605.4797009,49.0,24.0,1.0,,42.01752160996365,-87.66833627586935,"(42.017521609963644, -87.66833627586934)",2015-09-02
107113,09/02/2015,Completed - Dup,09/02/2015,15-04527814,Abandoned Vehicle Complaint,22488H,Dodge,Black,FVI - Outcome,Create Work Order,30.0,8712 S BALTIMORE AVE,60617.0,1198405.2600666,1847801.13569962,10.0,4.0,46.0,,41.736982587163745,-87.5488199384152,"(41.73698258716374, -87.5488199384152)",2015-09-02
107114,09/02/2015,Completed,09/02/2015,15-04520773,Abandoned Vehicle Complaint,6VQL874,Honda,Tan,,,14.0,4800 S BISHOP ST,60609.0,1167476.12456637,1872915.9525683997,20.0,9.0,61.0,,41.8067379533366,-87.66141876557302,"(41.8067379533366, -87.66141876557302)",2015-09-02
107115,09/02/2015,Completed,09/02/2015,15-04524051,Abandoned Vehicle Complaint,X749858,Mercury,Silver,FVI - Outcome,Vehicle was moved from original address requested,145.0,5719 W ADAMS BLVD,60644.0,,,29.0,15.0,25.0,,41.87758638698981,-87.76888846667723,"(41.877586386989805, -87.76888846667723)",2015-09-02
107116,09/01/2015,Completed - Dup,09/02/2015,15-04495256,Abandoned Vehicle Complaint,V75 4697,Honda,Blue,FVI - Outcome,Create Work Order,45.0,3838 N AUSTIN AVE,60634.0,1135672.78880622,1925013.24921386,38.0,16.0,17.0,,41.9505836102249,-87.77683726111624,"(41.950583610224896, -87.77683726111623)",2015-09-01
107117,09/01/2015,Completed - Dup,09/02/2015,15-04495585,Abandoned Vehicle Complaint,E752150,Ford,Green,FVI - Outcome,Create Work Order,21.0,3109 W 64TH ST,60629.0,1156725.17360266,1862028.84770002,17.0,8.0,66.0,,41.77706648694201,-87.70107067811321,"(41.77706648694201, -87.70107067811321)",2015-09-01
107118,09/01/2015,Completed - Dup,09/02/2015,15-04498281,Abandoned Vehicle Complaint,2860,Oldsmobile,Gray,FVI - Outcome,Create Work Order,22.0,5832 S KOSTNER AVE,60629.0,1148030.83021954,1865570.0999695,13.0,8.0,62.0,,41.7866589430693,-87.73291645570373,"(41.7866589430693, -87.73291645570373)",2015-09-01
107119,09/01/2015,Completed - Dup,09/02/2015,15-04498362,Abandoned Vehicle Complaint,R12 8050,Nissan,Gray,FVI - Outcome,Create Work Order,22.0,2236 W ESTES AVE,60645.0,1159951.89718945,1947289.39298229,50.0,24.0,2.0,,42.01115478764336,-87.68751863557956,"(42.01115478764336, -87.68751863557956)",2015-09-01
107120,09/01/2015,Completed - Dup,09/02/2015,15-04499576,Abandoned Vehicle Complaint,K744827,Pontiac,Gray,FVI - Outcome,Create Work Order,10.0,6617 S CAMPBELL AVE,60629.0,1160847.58179435,1860700.02652722,16.0,8.0,66.0,,41.77322001182562,-87.68577133312124,"(41.77322001182562, -87.68577133312124)",2015-09-01
107121,09/01/2015,Completed - Dup,09/02/2015,15-04499577,Abandoned Vehicle Complaint,K744827,Pontiac,Gray,FVI - Outcome,Create Work Order,10.0,6617 S CAMPBELL AVE,60629.0,1160847.58179435,1860700.02652722,16.0,8.0,66.0,,41.77322001182562,-87.68577133312124,"(41.77322001182562, -87.68577133312124)",2015-09-01
