,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
88281,09/01/2015,Completed,09/01/2015,15-04493870,Sanitation Code Violation,Garbage in alley,3610 W GEORGE ST,60618.0,1151819.62522169,1919043.7199181998,30.0,25.0,21.0,41.93373221709906,-87.71748396505829,"(41.93373221709906, -87.7174839650583)",2015-09-01
88282,09/01/2015,Completed,09/01/2015,15-04495265,Sanitation Code Violation,Overflowing carts,1742 N HUMBOLDT BLVD,60647.0,1156102.66082585,1911469.28752205,26.0,14.0,23.0,41.91286187937597,-87.70194888294745,"(41.912861879375974, -87.70194888294745)",2015-09-01
88283,09/01/2015,Completed,09/01/2015,15-04496107,Sanitation Code Violation,Other,542 N DAMEN AVE,60622.0,1162970.56897665,1903811.21692404,26.0,12.0,24.0,41.891706054488495,-87.67693311464409,"(41.89170605448849, -87.67693311464409)",2015-09-01
88284,09/01/2015,Completed,09/01/2015,15-04496298,Sanitation Code Violation,Other,3018 W JEROME ST,60645.0,1155058.61001626,1949889.39967594,50.0,24.0,2.0,42.01830998395317,-87.70474898793063,"(42.018309983953166, -87.70474898793063)",2015-09-01
88285,09/01/2015,Completed,09/01/2015,15-04499775,Sanitation Code Violation,Garbage in alley,3700 W MCLEAN AVE,60647.0,1151380.43796795,1913368.61509137,26.0,25.0,22.0,41.91816788782118,-87.71924733140995,"(41.91816788782117, -87.71924733140995)",2015-09-01
88366,09/01/2015,Completed,09/02/2015,15-04505395,Sanitation Code Violation,Garbage in yard,2293 N CLYBOURN AVE,60614.0,1165549.29283413,1915444.6128778,2.0,18.0,7.0,41.92357434689519,-87.66713083477528,"(41.92357434689519, -87.66713083477528)",2015-09-01
88367,09/01/2015,Completed,09/02/2015,15-04507807,Sanitation Code Violation,Garbage in alley,1521 W NELSON ST,60657.0,1165639.33737235,1920331.70988231,32.0,19.0,6.0,41.93698289297709,-87.66666035280635,"(41.936982892977085, -87.66666035280635)",2015-09-01
88368,09/01/2015,Completed,09/02/2015,15-04508600,Sanitation Code Violation,Overflowing carts,2145 W ROSCOE ST,60618.0,1161360.18051354,1922553.1994842,32.0,19.0,5.0,41.943169030486466,-87.68232484427834,"(41.94316903048647, -87.68232484427834)",2015-09-01
88369,09/01/2015,Completed,09/02/2015,15-04508683,Sanitation Code Violation,Overflowing carts,2991 S ARCHER AVE,60608.0,1167494.73999955,1885093.22001117,11.0,9.0,60.0,41.84024614153484,-87.66085644168419,"(41.84024614153484, -87.66085644168419)",2015-09-01
88370,09/01/2015,Completed,09/02/2015,15-04509796,Sanitation Code Violation,Dumpster not being emptied,4452 N LOCKWOOD AVE,60630.0,1140211.20717789,1929187.58047767,38.0,16.0,15.0,41.961788834856684,-87.75989550055533,"(41.961788834856684, -87.75989550055533)",2015-09-01
