SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,11-03499833,08/01/2011,Front,,Open,,Vacant,False,True,1326,S,SPAULDING,AVE,60623.0,1154570.31930875,1893850.58489395,24.0,10.0,29.0,41.86454525194036,-87.7080500218956,"(41.86454525194037, -87.7080500218956)",2011-08-01
Vacant/Abandoned Building,11-03499986,08/01/2011,Front,,Open,REAR AND FRONT,Vacant,True,True,6223,S,CARPENTER,ST,60621.0,1170380.46339136,1863541.80069775,16.0,7.0,68.0,41.78104431957045,-87.6508950568023,"(41.78104431957045, -87.6508950568023)",2011-08-01
Vacant/Abandoned Building,11-03500465,08/01/2011,Front,,Open,,Vacant,False,False,349,E,73RD,ST,60619.0,1179794.00093355,1856690.37097617,6.0,3.0,69.0,41.76203309836421,-87.61659265339338,"(41.76203309836421, -87.61659265339338)",2011-08-01
Vacant/Abandoned Building,11-03501176,08/01/2011,,,,,,,,3081,N,ELBRIDGE,AVE,60618.0,1152477.31001391,1920230.67001363,35.0,14.0,21.0,41.93697631286527,-87.71503552841568,"(41.93697631286527, -87.71503552841567)",2011-08-01
Vacant/Abandoned Building,11-03501310,08/01/2011,,,,,,,,3220,S,THROOP,ST,60608.0,1168185.59181795,1883361.77688876,11.0,9.0,60.0,41.83548002570229,-87.65837123091316,"(41.83548002570229, -87.65837123091315)",2011-08-01
Vacant/Abandoned Building,11-03501478,08/01/2011,Front,,Open,,Vacant,False,False,349,E,73RD,ST,60619.0,1179794.00093355,1856690.37097617,6.0,3.0,69.0,41.76203309836421,-87.61659265339338,"(41.76203309836421, -87.61659265339338)",2011-08-01
Vacant/Abandoned Building,11-03501494,08/01/2011,Front,,Open,,Vacant,False,False,4306,W,CORTEZ,ST,60651.0,1147427.41012833,1906648.86007043,37.0,11.0,23.0,41.89980495332338,-87.73394365673622,"(41.89980495332338, -87.73394365673622)",2011-08-01
Vacant/Abandoned Building,11-03501552,08/01/2011,Front,,Open,,Occupied,False,True,5010,W,WABANSIA,AVE,60639.0,1142659.87511973,1910838.37563019,37.0,25.0,25.0,41.911391520729,-87.75135066654968,"(41.911391520729, -87.75135066654968)",2011-08-01
Vacant/Abandoned Building,11-03501579,08/01/2011,Front,,Open,,Vacant,False,False,4310,W,CORTEZ,ST,60651.0,1147402.51012833,1906648.16007043,37.0,11.0,23.0,41.899803509797735,-87.7340351335253,"(41.899803509797735, -87.7340351335253)",2011-08-01
Vacant/Abandoned Building,11-03501648,08/01/2011,Front,,Open,,Vacant,False,False,3244,W,BRYN MAWR,AVE,60659.0,1153637.88873088,1937030.40809349,40.0,17.0,13.0,41.98305283899724,-87.71032131932661,"(41.98305283899724, -87.71032131932661)",2011-08-01
Vacant/Abandoned Building,11-03501878,08/01/2011,Front,,Boarded,,Vacant,False,True,648,N,OAKLEY,BLVD,60612.0,1160953.84517247,1904360.62277498,1.0,13.0,24.0,41.89325576680043,-87.68432436164044,"(41.89325576680043, -87.68432436164044)",2011-08-01
