,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
80207,05/01/2015,Completed,05/01/2015,15-01714056,Sanitation Code Violation,Other,5009 S KEATING AVE,60632.0,1145538.43592949,1870994.11097192,23.0,8.0,56.0,41.80199958429838,-87.74178410521631,"(41.80199958429838, -87.74178410521631)",2015-05-01
80208,05/01/2015,Completed,05/01/2015,15-01717764,Sanitation Code Violation,Garbage in yard,3209 N CICERO AVE,60641.0,1143808.03321725,1920946.86776649,30.0,17.0,15.0,41.939108780479394,-87.74687867618431,"(41.939108780479394, -87.74687867618432)",2015-05-01
80209,05/01/2015,Completed,05/01/2015,15-01718501,Sanitation Code Violation,Garbage in yard,4926 W FERDINAND ST,60644.0,1143433.61128873,1902880.57867213,37.0,15.0,25.0,41.88953998591365,-87.74870740040407,"(41.88953998591365, -87.74870740040407)",2015-05-01
80210,05/01/2015,Completed,05/01/2015,15-01718637,Sanitation Code Violation,Garbage in yard,3908 W GRAND AVE,60651.0,1150062.98782028,1908664.4349868998,30.0,25.0,23.0,41.90528495431639,-87.72421050620983,"(41.905284954316386, -87.72421050620983)",2015-05-01
80211,05/01/2015,Completed,05/01/2015,15-01724719,Sanitation Code Violation,Other,1805 N HARDING AVE,60647.0,1149760.81997337,1911792.31847445,30.0,25.0,20.0,41.91387405203547,-87.725239018812,"(41.913874052035474, -87.725239018812)",2015-05-01
80265,05/02/2015,Completed,05/03/2015,15-01743615,Sanitation Code Violation,Dumpster not being emptied,11 N WABASH AVE,60602.0,1176808.02743339,1900455.67500362,42.0,1.0,32.0,41.88219654631122,-87.6262164105311,"(41.88219654631122, -87.6262164105311)",2015-05-02
80267,05/03/2015,Completed,05/04/2015,15-01766121,Sanitation Code Violation,Other,4635 N PAULINA ST,60640.0,1164392.93791451,1930844.53138651,47.0,19.0,3.0,41.9658570852484,-87.67094242516184,"(41.965857085248395, -87.67094242516184)",2015-05-03
80268,05/03/2015,Completed,05/04/2015,15-01768642,Sanitation Code Violation,Other,4529 W WRIGHTWOOD AVE,60639.0,1145633.35898539,1917107.04939001,31.0,25.0,20.0,41.928537500715144,-87.74026766990063,"(41.92853750071514, -87.74026766990062)",2015-05-03
80269,05/03/2015,Completed,05/04/2015,15-01772794,Sanitation Code Violation,Other,1956 E 73RD PL,60649.0,1190670.82310448,1856625.48011271,5.0,3.0,43.0,41.76159942385998,-87.57673045364521,"(41.76159942385998, -87.5767304536452)",2015-05-03
80270,05/04/2015,Completed,05/04/2015,15-01781257,Sanitation Code Violation,Other,4709 S HOYNE AVE,60609.0,1163153.15988217,1873430.61308475,12.0,9.0,61.0,41.80833481473184,-87.67711515663147,"(41.808334814731836, -87.67711515663147)",2015-05-04
80271,05/04/2015,Completed,05/04/2015,15-01782083,Sanitation Code Violation,Dumpster not being emptied,6439 N DAMEN AVE,60645.0,1161795.31991978,1942760.29156903,50.0,24.0,2.0,41.99860909584388,-87.68015923814718,"(41.998609095843875, -87.68015923814718)",2015-05-04
80272,05/04/2015,Completed,05/04/2015,15-01782174,Sanitation Code Violation,Other,1023 W LELAND AVE,60640.0,1168527.91290856,1931385.91262058,46.0,19.0,3.0,41.967253926293246,-87.65572327297255,"(41.96725392629324, -87.65572327297255)",2015-05-04
80273,05/01/2015,Completed,05/04/2015,15-01713769,Sanitation Code Violation,Other,5161 S CALUMET AVE,60615.0,1179363.22491003,1870858.78450053,3.0,2.0,40.0,41.800922463090245,-87.61773933454798,"(41.80092246309024, -87.61773933454798)",2015-05-01
80274,05/01/2015,Completed,05/04/2015,15-01716939,Sanitation Code Violation,Overflowing carts,1942 W SUMMERDALE AVE,60640.0,1162420.62027639,1935539.88229175,40.0,20.0,4.0,41.97878293636632,-87.67806218635809,"(41.978782936366315, -87.6780621863581)",2015-05-01
80275,05/01/2015,Completed,05/04/2015,15-01717729,Sanitation Code Violation,Dumpster not being emptied,4346 N KENMORE AVE,60613.0,1168386.54342248,1929010.76790646,46.0,19.0,3.0,41.960739516215035,-87.65631207308523,"(41.96073951621503, -87.65631207308523)",2015-05-01
80276,05/01/2015,Completed,05/04/2015,15-01721411,Sanitation Code Violation,Other,3958 N LAKE SHORE DR,60613.0,1171412.53723077,1926801.22958449,46.0,19.0,6.0,41.95461033194066,-87.64525229158171,"(41.95461033194066, -87.64525229158171)",2015-05-01
80277,05/01/2015,Completed,05/04/2015,15-01722911,Sanitation Code Violation,Overflowing carts,1901 W DIVERSEY PKWY,60614.0,1163320.52037439,1918614.88520752,32.0,19.0,7.0,41.93232099199071,-87.67523075133353,"(41.9323209919907, -87.67523075133353)",2015-05-01
80278,05/01/2015,Completed,05/04/2015,15-01722965,Sanitation Code Violation,Other,2734 N WOLCOTT AVE,60614.0,1163279.71449778,1918064.1040312,32.0,19.0,7.0,41.93081047488449,-87.67539623988516,"(41.93081047488449, -87.67539623988515)",2015-05-01
80279,05/01/2015,Completed,05/04/2015,15-01723008,Sanitation Code Violation,Other,2750 N WOLCOTT AVE,60614.0,1163248.01449778,1917775.8040312,32.0,19.0,7.0,41.930020029707975,-87.67552085877422,"(41.930020029707975, -87.67552085877422)",2015-05-01
80280,05/01/2015,Completed,05/04/2015,15-01724951,Sanitation Code Violation,Garbage in yard,5616 W OHIO ST,60644.0,1138925.86861535,1903417.65329904,29.0,15.0,25.0,41.891096870631344,-87.76524891327642,"(41.89109687063134, -87.76524891327642)",2015-05-01
80281,05/01/2015,Completed,05/04/2015,15-01728537,Sanitation Code Violation,Other,440 N MCCLURG CT,60611.0,1179124.40351584,1903207.64792692,42.0,18.0,8.0,41.88969540532545,-87.61762650668075,"(41.889695405325455, -87.61762650668075)",2015-05-01
80282,05/01/2015,Completed,05/04/2015,15-01729514,Sanitation Code Violation,Other,3709 N HALSTED ST,60613.0,1170258.39222265,1924889.97351056,46.0,19.0,6.0,41.94939112724842,-87.64955113435593,"(41.949391127248425, -87.64955113435592)",2015-05-01
80283,05/01/2015,Completed,05/04/2015,15-01738180,Sanitation Code Violation,Other,4000 W CORNELIA AVE,60641.0,1149105.84996748,1923058.30999447,30.0,17.0,16.0,41.944801647486294,-87.72735275659444,"(41.9448016474863, -87.72735275659446)",2015-05-01
80284,05/02/2015,Completed,05/04/2015,15-01742878,Sanitation Code Violation,Overflowing carts,5073 N WOLCOTT AVE,60640.0,1162898.95407811,1933876.38116659,47.0,20.0,4.0,41.97420817036921,-87.67635001320387,"(41.97420817036921, -87.67635001320387)",2015-05-02
80285,05/02/2015,Completed,05/04/2015,15-01744281,Sanitation Code Violation,Garbage in yard,3507 N PINE GROVE AVE,60657.0,1171629.19117994,1923766.32742813,46.0,19.0,6.0,41.94627768304361,-87.6445455072011,"(41.94627768304361, -87.6445455072011)",2015-05-02
80286,05/02/2015,Completed,05/04/2015,15-01745706,Sanitation Code Violation,Construction Site Cleanliness/Fence,1752 W BARRY AVE,60657.0,1164109.85467194,1920626.46480601,32.0,19.0,6.0,41.93782421745497,-87.67227305193056,"(41.93782421745497, -87.67227305193056)",2015-05-02
80287,05/02/2015,Completed,05/04/2015,15-01745948,Sanitation Code Violation,Overflowing carts,5625 N CAMPBELL AVE,60659.0,1158648.17560325,1937273.09636799,40.0,20.0,2.0,41.98361730424157,-87.69188780036595,"(41.98361730424157, -87.69188780036593)",2015-05-02
80288,05/02/2015,Completed,05/04/2015,15-01746503,Sanitation Code Violation,Garbage in yard,1637 W FARRAGUT AVE,60640.0,1164465.81611121,1934931.80991455,40.0,20.0,77.0,41.97707118678081,-87.6705582054348,"(41.97707118678081, -87.6705582054348)",2015-05-02
80289,05/02/2015,Completed,05/04/2015,15-01751887,Sanitation Code Violation,Dumpster not being emptied,6411 N LAKEWOOD AVE,60626.0,1166443.22688078,1942723.23099498,40.0,24.0,1.0,41.998408837040635,-87.66306216834444,"(41.99840883704063, -87.66306216834444)",2015-05-02
80324,05/05/2015,Completed,05/05/2015,15-01810160,Sanitation Code Violation,Other,1023 W LELAND AVE,60640.0,1168527.91290856,1931385.91262058,46.0,19.0,3.0,41.967253926293246,-87.65572327297255,"(41.96725392629324, -87.65572327297255)",2015-05-05
